"Label (Grouping)","Iowa!!Total!!Estimate","Iowa!!Total!!Margin of Error","Iowa!!Male!!Estimate","Iowa!!Male!!Margin of Error","Iowa!!Percent Male!!Estimate","Iowa!!Percent Male!!Margin of Error","Iowa!!Female!!Estimate","Iowa!!Female!!Margin of Error","Iowa!!Percent Female!!Estimate","Iowa!!Percent Female!!Margin of Error","Minnesota!!Total!!Estimate","Minnesota!!Total!!Margin of Error","Minnesota!!Male!!Estimate","Minnesota!!Male!!Margin of Error","Minnesota!!Percent Male!!Estimate","Minnesota!!Percent Male!!Margin of Error","Minnesota!!Female!!Estimate","Minnesota!!Female!!Margin of Error","Minnesota!!Percent Female!!Estimate","Minnesota!!Percent Female!!Margin of Error","Nebraska!!Total!!Estimate","Nebraska!!Total!!Margin of Error","Nebraska!!Male!!Estimate","Nebraska!!Male!!Margin of Error","Nebraska!!Percent Male!!Estimate","Nebraska!!Percent Male!!Margin of Error","Nebraska!!Female!!Estimate","Nebraska!!Female!!Margin of Error","Nebraska!!Percent Female!!Estimate","Nebraska!!Percent Female!!Margin of Error","North Dakota!!Total!!Estimate","North Dakota!!Total!!Margin of Error","North Dakota!!Male!!Estimate","North Dakota!!Male!!Margin of Error","North Dakota!!Percent Male!!Estimate","North Dakota!!Percent Male!!Margin of Error","North Dakota!!Female!!Estimate","North Dakota!!Female!!Margin of Error","North Dakota!!Percent Female!!Estimate","North Dakota!!Percent Female!!Margin of Error","South Dakota!!Total!!Estimate","South Dakota!!Total!!Margin of Error","South Dakota!!Male!!Estimate","South Dakota!!Male!!Margin of Error","South Dakota!!Percent Male!!Estimate","South Dakota!!Percent Male!!Margin of Error","South Dakota!!Female!!Estimate","South Dakota!!Female!!Margin of Error","South Dakota!!Percent Female!!Estimate","South Dakota!!Percent Female!!Margin of Error"
"            Community and social service occupations","23,221","±2,836","7,640","±1,354","32.9%","±5.1","15,581","±2,411","67.1%","±5.1","50,145","±3,495","15,682","±1,829","31.3%","±3.0","34,463","±2,865","68.7%","±3.0","16,302","±2,264","6,210","±1,207","38.1%","±6.2","10,092","±1,874","61.9%","±6.2","7,240","±1,666","2,389","±985","33.0%","±9.8","4,851","±1,158","67.0%","±9.8","6,511","±1,252","2,616","±826","40.2%","±10.6","3,895","±1,057","59.8%","±10.6"
"            Legal occupations","8,613","±1,348","3,575","±855","41.5%","±7.6","5,038","±1,033","58.5%","±7.6","24,454","±2,217","11,144","±1,586","45.6%","±5.0","13,310","±1,734","54.4%","±5.0","9,434","±1,778","5,140","±1,241","54.5%","±8.6","4,294","±1,158","45.5%","±8.6","2,411","±787","961","±485","39.9%","±17.4","1,450","±676","60.1%","±17.4","3,239","±966","1,710","±863","52.8%","±18.7","1,529","±639","47.2%","±18.7"
"            Educational instruction, and library occupations","68,501","±4,188","17,983","±2,352","26.3%","±2.6","50,518","±3,006","73.7%","±2.6","108,387","±5,777","32,410","±3,425","29.9%","±2.5","75,977","±4,423","70.1%","±2.5","44,200","±4,170","11,186","±1,707","25.3%","±3.3","33,014","±3,559","74.7%","±3.3","17,299","±2,414","5,259","±1,185","30.4%","±4.6","12,040","±1,739","69.6%","±4.6","20,434","±2,386","5,936","±1,315","29.0%","±4.6","14,498","±1,697","71.0%","±4.6"
"            Arts, design, entertainment, sports, and media occupations","15,132","±2,094","7,863","±1,624","52.0%","±6.5","7,269","±1,258","48.0%","±6.5","39,025","±3,402","17,653","±2,181","45.2%","±3.5","21,372","±2,189","54.8%","±3.5","10,860","±1,602","6,091","±1,018","56.1%","±7.5","4,769","±1,221","43.9%","±7.5","3,544","±1,190","1,255","±563","35.4%","±14.6","2,289","±1,022","64.6%","±14.6","3,941","±1,197","2,314","±809","58.7%","±12.6","1,627","±729","41.3%","±12.6"
"        Healthcare practitioners and technical occupations:","72,918","±4,322","16,300","±1,999","22.4%","±2.4","56,618","±3,723","77.6%","±2.4","138,544","±4,829","36,106","±2,782","26.1%","±1.6","102,438","±3,700","73.9%","±1.6","52,623","±4,143","10,939","±1,911","20.8%","±3.0","41,684","±3,422","79.2%","±3.0","20,884","±2,187","4,696","±1,037","22.5%","±4.3","16,188","±1,921","77.5%","±4.3","28,799","±2,746","6,062","±1,270","21.0%","±3.7","22,737","±2,307","79.0%","±3.7"
"            Health diagnosing and treating practitioners and other technical occupations","54,729","±3,667","13,021","±1,642","23.8%","±2.7","41,708","±3,282","76.2%","±2.7","97,816","±4,254","26,746","±2,446","27.3%","±2.0","71,070","±3,342","72.7%","±2.0","38,483","±3,500","8,860","±1,619","23.0%","±3.4","29,623","±2,878","77.0%","±3.4","16,011","±2,082","3,851","±992","24.1%","±5.0","12,160","±1,713","75.9%","±5.0","19,108","±2,194","3,090","±854","16.2%","±4.4","16,018","±2,118","83.8%","±4.4"
"            Health technologists and technicians","18,189","±2,155","3,279","±856","18.0%","±4.3","14,910","±1,957","82.0%","±4.3","40,728","±3,029","9,360","±1,232","23.0%","±2.6","31,368","±2,635","77.0%","±2.6","14,140","±2,053","2,079","±874","14.7%","±5.4","12,061","±1,773","85.3%","±5.4","4,873","±1,291","845","±343","17.3%","±6.7","4,028","±1,178","82.7%","±6.7","9,691","±1,785","2,972","±1,168","30.7%","±8.9","6,719","±1,260","69.3%","±8.9"
"    Service occupations:","125,007","±6,280","56,730","±4,276","45.4%","±2.2","68,277","±3,970","54.6%","±2.2","205,214","±7,392","96,840","±5,705","47.2%","±1.9","108,374","±4,974","52.8%","±1.9","76,561","±4,642","34,533","±3,112","45.1%","±2.7","42,028","±3,117","54.9%","±2.7","32,512","±3,462","13,200","±2,025","40.6%","±4.4","19,312","±2,508","59.4%","±4.4","38,939","±2,944","17,776","±2,134","45.7%","±4.0","21,163","±2,189","54.3%","±4.0"
"        Healthcare support occupations","23,663","±2,531","4,128","±1,539","17.4%","±5.5","19,535","±1,932","82.6%","±5.5","58,399","±3,379","12,491","±1,897","21.4%","±2.9","45,908","±3,016","78.6%","±2.9","19,516","±2,592","2,300","±864","11.8%","±4.1","17,216","±2,384","88.2%","±4.1","7,926","±1,567","662","±396","8.4%","±4.6","7,264","±1,471","91.6%","±4.6","7,064","±1,525","1,295","±586","18.3%","±7.4","5,769","±1,367","81.7%","±7.4"
"        Protective service occupations:","19,831","±2,408","15,663","±2,062","79.0%","±4.1","4,168","±954","21.0%","±4.1","32,575","±3,017","25,086","±2,550","77.0%","±3.5","7,489","±1,350","23.0%","±3.5","10,609","±1,736","8,321","±1,611","78.4%","±6.4","2,288","±716","21.6%","±6.4","5,489","±1,365","4,505","±1,242","82.1%","±7.5","984","±439","17.9%","±7.5","6,907","±1,383","5,144","±1,058","74.5%","±9.7","1,763","±841","25.5%","±9.7"
"            Firefighting and prevention, and other protective service workers including supervisors","9,575","±1,702","6,804","±1,454","71.1%","±7.9","2,771","±881","28.9%","±7.9","14,684","±2,064","11,323","±1,804","77.1%","±5.2","3,361","±874","22.9%","±5.2","4,777","±1,003","3,620","±877","75.8%","±9.8","1,157","±532","24.2%","±9.8","2,314","±1,069","1,631","±891","70.5%","±16.0","683","±436","29.5%","±16.0","2,545","±989","1,721","±726","67.6%","±19.6","824","±655","32.4%","±19.6"
"            Law enforcement workers including supervisors","10,256","±1,780","8,859","±1,688","86.4%","±4.9","1,397","±523","13.6%","±4.9","17,891","±2,263","13,763","±1,840","76.9%","±4.4","4,128","±996","23.1%","±4.4","5,832","±1,385","4,701","±1,348","80.6%","±7.8","1,131","±423","19.4%","±7.8","3,175","±935","2,874","±908","90.5%","±5.3","301","±162","9.5%","±5.3","4,362","±1,042","3,423","±850","78.5%","±9.1","939","±479","21.5%","±9.1"
"        Food preparation and serving related occupations","29,209","±3,371","13,446","±2,444","46.0%","±5.3","15,763","±2,072","54.0%","±5.3","41,541","±4,450","20,877","±2,996","50.3%","±4.9","20,664","±3,025","49.7%","±4.9","17,366","±2,412","8,413","±1,693","48.4%","±6.1","8,953","±1,526","51.6%","±6.1","5,222","±1,383","2,202","±983","42.2%","±12.3","3,020","±893","57.8%","±12.3","10,382","±1,999","4,639","±1,284","44.7%","±7.7","5,743","±1,248","55.3%","±7.7"
"        Building and grounds cleaning and maintenance occupations","30,874","±3,373","20,051","±2,216","64.9%","±4.3","10,823","±2,019","35.1%","±4.3","41,416","±3,648","29,565","±2,881","71.4%","±3.4","11,851","±1,777","28.6%","±3.4","17,024","±1,979","12,617","±1,729","74.1%","±4.7","4,407","±915","25.9%","±4.7","8,722","±1,793","5,259","±1,302","60.3%","±9.7","3,463","±1,162","39.7%","±9.7","8,010","±1,643","5,002","±1,082","62.4%","±11.0","3,008","±1,223","37.6%","±11.0"
"        Personal care and service occupations","21,430","±2,699","3,442","±1,137","16.1%","±4.5","17,988","±2,249","83.9%","±4.5","31,283","±2,884","8,821","±1,395","28.2%","±3.6","22,462","±2,359","71.8%","±3.6","12,046","±1,461","2,882","±860","23.9%","±6.3","9,164","±1,303","76.1%","±6.3","5,153","±1,240","572","±462","11.1%","±8.4","4,581","±1,140","88.9%","±8.4","6,576","±1,141","1,696","±715","25.8%","±9.1","4,880","±938","74.2%","±9.1"
"    Sales and office occupations:","214,599","±6,797","85,315","±4,510","39.8%","±1.6","129,284","±5,059","60.2%","±1.6","371,519","±8,093","164,362","±5,529","44.2%","±1.2","207,157","±6,448","55.8%","±1.2","145,130","±6,297","63,653","±4,500","43.9%","±2.2","81,477","±4,407","56.1%","±2.2","56,921","±3,988","22,304","±2,419","39.2%","±3.7","34,617","±3,410","60.8%","±3.7","60,795","±3,385","24,826","±2,354","40.8%","±3.3","35,969","±2,903","59.2%","±3.3"
"        Sales and related occupations","95,340","±5,446","55,456","±3,745","58.2%","±2.5","39,884","±3,435","41.8%","±2.5","162,109","±5,406","102,799","±4,315","63.4%","±1.8","59,310","±3,612","36.6%","±1.8","62,853","±4,120","38,843","±3,001","61.8%","±2.8","24,010","±2,459","38.2%","±2.8","24,505","±2,897","15,294","±2,154","62.4%","±5.7","9,211","±1,853","37.6%","±5.7","26,947","±2,256","16,180","±1,799","60.0%","±4.7","10,767","±1,607","40.0%","±4.7"
"        Office and administrative support occupations","119,259","±5,259","29,859","±2,968","25.0%","±2.1","89,400","±4,511","75.0%","±2.1","209,410","±7,719","61,563","±4,106","29.4%","±1.6","147,847","±6,271","70.6%","±1.6","82,277","±5,006","24,810","±3,273","30.2%","±3.1","57,467","±3,672","69.8%","±3.1","32,416","±3,144","7,010","±1,426","21.6%","±3.9","25,406","±2,740","78.4%","±3.9","33,848","±2,757","8,646","±1,678","25.5%","±4.3","25,202","±2,347","74.5%","±4.3"
"    Natural resources, construction, and maintenance occupations:","135,671","±6,309","129,235","±6,085","95.3%","±1.0","6,436","±1,345","4.7%","±1.0","179,665","±5,812","171,838","±5,599","95.6%","±0.7","7,827","±1,332","4.4%","±0.7","80,888","±4,200","78,743","±4,119","97.3%","±0.7","2,145","±598","2.7%","±0.7","30,243","±2,770","29,206","±2,757","96.6%","±1.4","1,037","±426","3.4%","±1.4","40,707","±3,127","38,990","±3,037","95.8%","±1.8","1,717","±743","4.2%","±1.8"
"        Farming, fishing, and forestry occupations","9,908","±1,243","8,307","±1,113","83.8%","±4.8","1,601","±523","16.2%","±4.8","12,573","±1,736","10,602","±1,207","84.3%","±5.0","1,971","±812","15.7%","±5.0","10,578","±1,635","9,362","±1,522","88.5%","±4.2","1,216","±476","11.5%","±4.2","2,572","±765","2,310","±711","89.8%","±7.6","262","±212","10.2%","±7.6","6,128","±1,339","5,022","±1,151","82.0%","±7.0","1,106","±511","18.0%","±7.0"
"        Construction and extraction occupations","69,398","±4,643","66,517","±4,366","95.8%","±1.3","2,881","±946","4.2%","±1.3","94,159","±4,432","91,305","±4,348","97.0%","±0.8","2,854","±746","3.0%","±0.8","38,163","±3,353","37,557","±3,262","98.4%","±0.8","606","±309","1.6%","±0.8","15,766","±2,108","15,308","±2,107","97.1%","±1.8","458","±273","2.9%","±1.8","19,416","±2,415","18,890","±2,393","97.3%","±2.2","526","±420","2.7%","±2.2"
"        Installation, maintenance, and repair occupations","56,365","±3,720","54,411","±3,729","96.5%","±1.7","1,954","±970","3.5%","±1.7","72,933","±4,082","69,931","±3,926","95.9%","±1.1","3,002","±820","4.1%","±1.1","32,147","±2,474","31,824","±2,437","99.0%","±0.6","323","±197","1.0%","±0.6","11,905","±1,453","11,588","±1,472","97.3%","±2.2","317","±266","2.7%","±2.2","15,163","±1,742","15,078","±1,759","99.4%","±0.6","85","±90","0.6%","±0.6"
"    Production, transportation, and material moving occupations:","195,709","±6,678","151,269","±5,460","77.3%","±1.4","44,440","±3,427","22.7%","±1.4","294,772","±8,334","231,169","±7,015","78.4%","±1.1","63,603","±3,871","21.6%","±1.1","103,820","±4,875","83,415","±4,305","80.3%","±1.8","20,405","±2,137","19.7%","±1.8","38,203","±3,109","33,050","±2,944","86.5%","±2.6","5,153","±1,053","13.5%","±2.6","44,174","±3,513","35,591","±3,055","80.6%","±3.0","8,583","±1,505","19.4%","±3.0"
"        Production occupations","109,198","±5,283","80,333","±4,496","73.6%","±1.9","28,865","±2,477","26.4%","±1.9","166,052","±7,586","122,924","±5,822","74.0%","±1.6","43,128","±3,469","26.0%","±1.6","53,439","±3,826","38,059","±3,168","71.2%","±3.1","15,380","±1,984","28.8%","±3.1","17,228","±2,192","14,667","±2,101","85.1%","±4.2","2,561","±750","14.9%","±4.2","22,948","±2,387","17,040","±1,895","74.3%","±4.2","5,908","±1,210","25.7%","±4.2"
"        Transportation occupations","40,586","±3,161","37,406","±2,967","92.2%","±2.4","3,180","±1,046","7.8%","±2.4","66,480","±4,211","59,541","±4,122","89.6%","±2.3","6,939","±1,552","10.4%","±2.3","25,968","±2,367","24,757","±2,409","95.3%","±1.9","1,211","±490","4.7%","±1.9","11,849","±1,663","11,010","±1,610","92.9%","±3.5","839","±430","7.1%","±3.5","10,971","±1,782","10,184","±1,753","92.8%","±4.4","787","±478","7.2%","±4.4"
"        Material moving occupations","45,925","±3,178","33,530","±2,612","73.0%","±3.4","12,395","±1,872","27.0%","±3.4","62,240","±4,233","48,704","±3,646","78.3%","±2.4","13,536","±1,726","21.7%","±2.4","24,413","±2,283","20,599","±2,275","84.4%","±3.7","3,814","±909","15.6%","±3.7","9,126","±1,808","7,373","±1,568","80.8%","±6.6","1,753","±703","19.2%","±6.6","10,255","±1,931","8,367","±1,766","81.6%","±6.6","1,888","±740","18.4%","±6.6"
