"Label (Grouping)","Iowa!!Total!!Estimate","Iowa!!Total!!Margin of Error","Iowa!!Male!!Estimate","Iowa!!Male!!Margin of Error","Iowa!!Percent Male!!Estimate","Iowa!!Percent Male!!Margin of Error","Iowa!!Female!!Estimate","Iowa!!Female!!Margin of Error","Iowa!!Percent Female!!Estimate","Iowa!!Percent Female!!Margin of Error","Minnesota!!Total!!Estimate","Minnesota!!Total!!Margin of Error","Minnesota!!Male!!Estimate","Minnesota!!Male!!Margin of Error","Minnesota!!Percent Male!!Estimate","Minnesota!!Percent Male!!Margin of Error","Minnesota!!Female!!Estimate","Minnesota!!Female!!Margin of Error","Minnesota!!Percent Female!!Estimate","Minnesota!!Percent Female!!Margin of Error","Nebraska!!Total!!Estimate","Nebraska!!Total!!Margin of Error","Nebraska!!Male!!Estimate","Nebraska!!Male!!Margin of Error","Nebraska!!Percent Male!!Estimate","Nebraska!!Percent Male!!Margin of Error","Nebraska!!Female!!Estimate","Nebraska!!Female!!Margin of Error","Nebraska!!Percent Female!!Estimate","Nebraska!!Percent Female!!Margin of Error","North Dakota!!Total!!Estimate","North Dakota!!Total!!Margin of Error","North Dakota!!Male!!Estimate","North Dakota!!Male!!Margin of Error","North Dakota!!Percent Male!!Estimate","North Dakota!!Percent Male!!Margin of Error","North Dakota!!Female!!Estimate","North Dakota!!Female!!Margin of Error","North Dakota!!Percent Female!!Estimate","North Dakota!!Percent Female!!Margin of Error","South Dakota!!Total!!Estimate","South Dakota!!Total!!Margin of Error","South Dakota!!Male!!Estimate","South Dakota!!Male!!Margin of Error","South Dakota!!Percent Male!!Estimate","South Dakota!!Percent Male!!Margin of Error","South Dakota!!Female!!Estimate","South Dakota!!Female!!Margin of Error","South Dakota!!Percent Female!!Estimate","South Dakota!!Percent Female!!Margin of Error"
"            Community and social service occupations","30,858","±3,368","9,988","±1,692","32.4%","±4.5","20,870","±2,719","67.6%","±4.5","66,821","±4,481","19,434","±2,220","29.1%","±2.6","47,387","±3,560","70.9%","±2.6","21,019","±2,490","7,170","±1,234","34.1%","±5.3","13,849","±2,204","65.9%","±5.3","8,228","±1,653","2,655","±996","32.3%","±9.1","5,573","±1,200","67.7%","±9.1","8,471","±1,360","3,201","±928","37.8%","±9.6","5,270","±1,204","62.2%","±9.6"
"            Legal occupations","10,469","±1,487","4,227","±914","40.4%","±6.8","6,242","±1,157","59.6%","±6.8","29,840","±2,570","13,185","±1,626","44.2%","±4.2","16,655","±1,968","55.8%","±4.2","11,322","±1,908","6,077","±1,378","53.7%","±7.8","5,245","±1,224","46.3%","±7.8","3,088","±792","1,416","±594","45.9%","±16.0","1,672","±672","54.1%","±16.0","3,828","±1,054","1,992","±924","52.0%","±16.2","1,836","±673","48.0%","±16.2"
"            Educational instruction, and library occupations","109,539","±6,363","26,906","±3,135","24.6%","±2.1","82,633","±4,662","75.4%","±2.1","190,584","±6,522","51,673","±3,835","27.1%","±1.7","138,911","±5,424","72.9%","±1.7","72,312","±4,890","17,163","±2,352","23.7%","±2.9","55,149","±4,309","76.3%","±2.9","29,850","±3,130","8,134","±1,605","27.2%","±3.9","21,716","±2,296","72.8%","±3.9","30,330","±2,724","7,740","±1,469","25.5%","±3.7","22,590","±2,036","74.5%","±3.7"
"            Arts, design, entertainment, sports, and media occupations","25,431","±2,610","11,504","±1,896","45.2%","±4.7","13,927","±1,594","54.8%","±4.7","64,408","±4,569","27,661","±2,499","42.9%","±2.6","36,747","±3,172","57.1%","±2.6","19,112","±2,522","8,161","±1,412","42.7%","±5.7","10,951","±1,921","57.3%","±5.7","5,795","±1,353","2,545","±839","43.9%","±11.8","3,250","±1,090","56.1%","±11.8","5,449","±1,278","2,852","±831","52.3%","±9.2","2,597","±780","47.7%","±9.2"
"        Healthcare practitioners and technical occupations:","103,244","±5,174","20,654","±2,312","20.0%","±1.9","82,590","±4,368","80.0%","±1.9","214,852","±6,478","46,096","±3,123","21.5%","±1.2","168,756","±5,517","78.5%","±1.2","70,406","±4,462","13,425","±1,998","19.1%","±2.4","56,981","±3,865","80.9%","±2.4","27,713","±2,648","6,085","±1,114","22.0%","±3.4","21,628","±2,269","78.0%","±3.4","36,084","±3,114","7,265","±1,400","20.1%","±3.3","28,819","±2,637","79.9%","±3.3"
"            Health diagnosing and treating practitioners and other technical occupations","74,197","±4,217","16,269","±1,947","21.9%","±2.3","57,928","±3,640","78.1%","±2.3","152,932","±6,018","33,263","±2,500","21.8%","±1.5","119,669","±5,401","78.2%","±1.5","51,989","±3,734","10,781","±1,667","20.7%","±2.9","41,208","±3,330","79.3%","±2.9","20,819","±2,318","5,128","±1,066","24.6%","±4.0","15,691","±1,851","75.4%","±4.0","24,431","±2,526","3,959","±919","16.2%","±3.7","20,472","±2,441","83.8%","±3.7"
"            Health technologists and technicians","29,047","±2,842","4,385","±959","15.1%","±3.1","24,662","±2,697","84.9%","±3.1","61,920","±3,479","12,833","±1,636","20.7%","±2.3","49,087","±3,074","79.3%","±2.3","18,417","±2,231","2,644","±948","14.4%","±4.6","15,773","±1,954","85.6%","±4.6","6,894","±1,608","957","±357","13.9%","±4.9","5,937","±1,491","86.1%","±4.9","11,653","±1,919","3,306","±1,211","28.4%","±8.1","8,347","±1,448","71.6%","±8.1"
"    Service occupations:","250,304","±8,100","96,716","±5,364","38.6%","±1.7","153,588","±6,365","61.4%","±1.7","459,634","±11,994","181,383","±7,338","39.5%","±1.3","278,251","±9,957","60.5%","±1.3","155,445","±6,258","63,153","±4,093","40.6%","±1.8","92,292","±4,205","59.4%","±1.8","63,199","±4,391","22,106","±2,415","35.0%","±3.2","41,093","±3,674","65.0%","±3.2","77,865","±4,087","29,363","±2,642","37.7%","±2.6","48,502","±3,169","62.3%","±2.6"
"        Healthcare support occupations","47,457","±3,733","6,151","±1,793","13.0%","±3.2","41,306","±2,938","87.0%","±3.2","117,077","±5,573","22,117","±2,359","18.9%","±1.8","94,960","±5,108","81.1%","±1.8","31,488","±3,218","3,585","±1,110","11.4%","±3.2","27,903","±2,921","88.6%","±3.2","13,310","±2,152","980","±475","7.4%","±3.6","12,330","±2,127","92.6%","±3.6","12,755","±1,852","1,598","±636","12.5%","±4.5","11,157","±1,667","87.5%","±4.5"
"        Protective service occupations:","23,931","±2,610","17,710","±2,097","74.0%","±4.1","6,221","±1,236","26.0%","±4.1","43,084","±3,340","32,017","±2,682","74.3%","±3.3","11,067","±1,740","25.7%","±3.3","14,486","±2,015","10,492","±1,749","72.4%","±6.4","3,994","±1,063","27.6%","±6.4","6,670","±1,587","5,201","±1,335","78.0%","±7.6","1,469","±615","22.0%","±7.6","9,135","±1,564","6,661","±1,203","72.9%","±8.3","2,474","±956","27.1%","±8.3"
"            Firefighting and prevention, and other protective service workers including supervisors","13,437","±2,025","8,712","±1,615","64.8%","±6.8","4,725","±1,145","35.2%","±6.8","23,119","±2,537","16,651","±2,088","72.0%","±4.8","6,468","±1,350","28.0%","±4.8","7,888","±1,270","5,508","±1,029","69.8%","±8.7","2,380","±847","30.2%","±8.7","3,311","±1,294","2,251","±1,047","68.0%","±15.1","1,060","±622","32.0%","±15.1","4,624","±1,133","3,089","±850","66.8%","±13.5","1,535","±802","33.2%","±13.5"
"            Law enforcement workers including supervisors","10,494","±1,781","8,998","±1,676","85.7%","±4.9","1,496","±537","14.3%","±4.9","19,965","±2,405","15,366","±1,841","77.0%","±4.4","4,599","±1,141","23.0%","±4.4","6,598","±1,490","4,984","±1,385","75.5%","±8.4","1,614","±557","24.5%","±8.4","3,359","±958","2,950","±906","87.8%","±6.0","409","±208","12.2%","±6.0","4,511","±1,042","3,572","±854","79.2%","±8.9","939","±479","20.8%","±8.9"
"        Food preparation and serving related occupations","85,098","±5,298","33,971","±3,771","39.9%","±3.1","51,127","±3,625","60.1%","±3.1","147,335","±7,459","59,197","±4,278","40.2%","±2.3","88,138","±5,780","59.8%","±2.3","53,080","±3,560","22,990","±2,247","43.3%","±3.3","30,090","±2,766","56.7%","±3.3","19,224","±2,022","6,969","±1,394","36.3%","±5.8","12,255","±1,630","63.7%","±5.8","24,007","±2,453","8,932","±1,651","37.2%","±5.1","15,075","±1,786","62.8%","±5.1"
"        Building and grounds cleaning and maintenance occupations","51,617","±4,392","30,113","±2,770","58.3%","±3.3","21,504","±2,722","41.7%","±3.3","80,533","±4,452","51,607","±3,592","64.1%","±2.9","28,926","±2,874","35.9%","±2.9","30,727","±3,041","20,418","±2,366","66.4%","±3.8","10,309","±1,556","33.6%","±3.8","13,717","±2,078","7,687","±1,553","56.0%","±7.0","6,030","±1,281","44.0%","±7.0","16,924","±2,757","9,070","±1,443","53.6%","±7.8","7,854","±2,218","46.4%","±7.8"
"        Personal care and service occupations","42,201","±3,127","8,771","±1,586","20.8%","±3.4","33,430","±2,857","79.2%","±3.4","71,605","±4,169","16,445","±1,947","23.0%","±2.5","55,160","±3,748","77.0%","±2.5","25,664","±2,624","5,668","±1,213","22.1%","±4.1","19,996","±2,270","77.9%","±4.1","10,278","±1,693","1,269","±554","12.3%","±5.3","9,009","±1,643","87.7%","±5.3","15,044","±1,768","3,102","±1,008","20.6%","±5.8","11,942","±1,537","79.4%","±5.8"
"    Sales and office occupations:","309,676","±8,822","112,978","±5,475","36.5%","±1.3","196,698","±6,322","63.5%","±1.3","542,232","±10,242","217,986","±6,162","40.2%","±0.9","324,246","±8,296","59.8%","±0.9","205,730","±6,949","82,256","±4,573","40.0%","±1.5","123,474","±4,506","60.0%","±1.5","77,010","±4,398","28,795","±2,831","37.4%","±3.1","48,215","±3,737","62.6%","±3.1","88,455","±4,403","31,882","±2,666","36.0%","±2.4","56,573","±3,494","64.0%","±2.4"
"        Sales and related occupations","143,748","±6,852","73,790","±3,986","51.3%","±1.8","69,958","±4,608","48.7%","±1.8","251,401","±6,904","136,304","±4,981","54.2%","±1.4","115,097","±5,034","45.8%","±1.4","94,894","±5,096","51,830","±3,279","54.6%","±2.0","43,064","±3,080","45.4%","±2.0","34,246","±3,534","19,444","±2,543","56.8%","±4.8","14,802","±2,276","43.2%","±4.8","41,910","±2,934","21,259","±2,135","50.7%","±3.6","20,651","±2,071","49.3%","±3.6"
"        Office and administrative support occupations","165,928","±6,641","39,188","±3,539","23.6%","±1.8","126,740","±5,523","76.4%","±1.8","290,831","±8,990","81,682","±4,782","28.1%","±1.4","209,149","±7,441","71.9%","±1.4","110,836","±5,821","30,426","±3,505","27.5%","±2.4","80,410","±4,084","72.5%","±2.4","42,764","±3,385","9,351","±1,552","21.9%","±3.2","33,413","±2,958","78.1%","±3.2","46,545","±3,387","10,623","±1,829","22.8%","±3.4","35,922","±2,940","77.2%","±3.4"
"    Natural resources, construction, and maintenance occupations:","167,185","±6,245","156,970","±6,049","93.9%","±0.9","10,215","±1,512","6.1%","±0.9","235,390","±6,762","223,475","±6,452","94.9%","±0.7","11,915","±1,717","5.1%","±0.7","99,291","±4,688","95,568","±4,540","96.3%","±1.0","3,723","±977","3.7%","±1.0","41,127","±3,367","39,559","±3,281","96.2%","±1.3","1,568","±552","3.8%","±1.3","50,628","±3,053","48,283","±3,015","95.4%","±1.5","2,345","±757","4.6%","±1.5"
"        Farming, fishing, and forestry occupations","15,020","±1,818","11,186","±1,491","74.5%","±4.7","3,834","±875","25.5%","±4.7","17,824","±1,976","14,223","±1,453","79.8%","±4.5","3,601","±1,024","20.2%","±4.5","15,554","±2,346","13,999","±2,311","90.0%","±3.6","1,555","±537","10.0%","±3.6","5,072","±1,148","4,639","±1,086","91.5%","±5.2","433","±281","8.5%","±5.2","7,807","±1,427","6,347","±1,252","81.3%","±6.0","1,460","±541","18.7%","±6.0"
"        Construction and extraction occupations","88,399","±4,863","84,576","±4,641","95.7%","±1.1","3,823","±1,041","4.3%","±1.1","131,067","±5,083","126,510","±4,977","96.5%","±0.7","4,557","±953","3.5%","±0.7","47,446","±3,711","45,753","±3,439","96.4%","±1.4","1,693","±725","3.6%","±1.4","20,941","±2,468","20,229","±2,399","96.6%","±1.8","712","±390","3.4%","±1.8","25,871","±2,549","25,084","±2,534","97.0%","±1.8","787","±464","3.0%","±1.8"
"        Installation, maintenance, and repair occupations","63,766","±3,885","61,208","±3,772","96.0%","±1.7","2,558","±1,094","4.0%","±1.7","86,499","±4,924","82,742","±4,735","95.7%","±1.0","3,757","±898","4.3%","±1.0","36,291","±2,716","35,816","±2,690","98.7%","±0.7","475","±257","1.3%","±0.7","15,114","±1,575","14,691","±1,631","97.2%","±2.2","423","±321","2.8%","±2.2","16,950","±1,917","16,852","±1,931","99.4%","±0.6","98","±99","0.6%","±0.6"
"    Production, transportation, and material moving occupations:","269,587","±7,523","198,826","±6,220","73.8%","±1.3","70,761","±4,113","26.2%","±1.3","416,914","±10,064","315,555","±8,456","75.7%","±0.9","101,359","±4,524","24.3%","±0.9","138,135","±5,792","108,005","±5,129","78.2%","±1.7","30,130","±2,660","21.8%","±1.7","54,565","±4,062","43,869","±3,739","80.4%","±2.9","10,696","±1,689","19.6%","±2.9","63,395","±4,228","47,956","±3,443","75.6%","±2.6","15,439","±2,060","24.4%","±2.6"
"        Production occupations","132,188","±5,793","92,293","±4,845","69.8%","±1.8","39,895","±2,819","30.2%","±1.8","204,815","±8,249","145,677","±6,216","71.1%","±1.4","59,138","±3,932","28.9%","±1.4","63,071","±4,244","44,325","±3,455","70.3%","±2.8","18,746","±2,189","29.7%","±2.8","21,646","±2,863","17,723","±2,547","81.9%","±4.7","3,923","±1,150","18.1%","±4.7","30,758","±2,809","21,434","±2,301","69.7%","±4.2","9,324","±1,594","30.3%","±4.2"
"        Transportation occupations","60,575","±3,884","53,839","±3,479","88.9%","±2.2","6,736","±1,478","11.1%","±2.2","101,534","±4,803","87,598","±4,895","86.3%","±2.2","13,936","±2,308","13.7%","±2.2","36,065","±2,697","33,342","±2,567","92.4%","±2.0","2,723","±770","7.6%","±2.0","17,757","±2,068","15,250","±1,990","85.9%","±3.9","2,507","±717","14.1%","±3.9","14,100","±1,894","12,661","±1,809","89.8%","±4.0","1,439","±581","10.2%","±4.0"
"        Material moving occupations","76,824","±4,515","52,694","±3,635","68.6%","±2.8","24,130","±2,693","31.4%","±2.8","110,565","±5,503","82,280","±4,535","74.4%","±2.1","28,285","±2,868","25.6%","±2.1","38,999","±3,289","30,338","±3,012","77.8%","±3.4","8,661","±1,460","22.2%","±3.4","15,162","±2,345","10,896","±1,883","71.9%","±6.2","4,266","±1,198","28.1%","±6.2","18,537","±2,829","13,861","±2,283","74.8%","±5.0","4,676","±1,179","25.2%","±5.0"
