"Label (Grouping)","Iowa!!All families!!Total!!Estimate","Iowa!!All families!!Total!!Margin of Error","Iowa!!All families!!Percent below poverty level!!Estimate","Iowa!!All families!!Percent below poverty level!!Margin of Error","Iowa!!Married-couple families!!Total!!Estimate","Iowa!!Married-couple families!!Total!!Margin of Error","Iowa!!Married-couple families!!Percent below poverty level!!Estimate","Iowa!!Married-couple families!!Percent below poverty level!!Margin of Error","Iowa!!Female householder, no spouse present!!Total!!Estimate","Iowa!!Female householder, no spouse present!!Total!!Margin of Error","Iowa!!Female householder, no spouse present!!Percent below poverty level!!Estimate","Iowa!!Female householder, no spouse present!!Percent below poverty level!!Margin of Error","Minnesota!!All families!!Total!!Estimate","Minnesota!!All families!!Total!!Margin of Error","Minnesota!!All families!!Percent below poverty level!!Estimate","Minnesota!!All families!!Percent below poverty level!!Margin of Error","Minnesota!!Married-couple families!!Total!!Estimate","Minnesota!!Married-couple families!!Total!!Margin of Error","Minnesota!!Married-couple families!!Percent below poverty level!!Estimate","Minnesota!!Married-couple families!!Percent below poverty level!!Margin of Error","Minnesota!!Female householder, no spouse present!!Total!!Estimate","Minnesota!!Female householder, no spouse present!!Total!!Margin of Error","Minnesota!!Female householder, no spouse present!!Percent below poverty level!!Estimate","Minnesota!!Female householder, no spouse present!!Percent below poverty level!!Margin of Error","Nebraska!!All families!!Total!!Estimate","Nebraska!!All families!!Total!!Margin of Error","Nebraska!!All families!!Percent below poverty level!!Estimate","Nebraska!!All families!!Percent below poverty level!!Margin of Error","Nebraska!!Married-couple families!!Total!!Estimate","Nebraska!!Married-couple families!!Total!!Margin of Error","Nebraska!!Married-couple families!!Percent below poverty level!!Estimate","Nebraska!!Married-couple families!!Percent below poverty level!!Margin of Error","Nebraska!!Female householder, no spouse present!!Total!!Estimate","Nebraska!!Female householder, no spouse present!!Total!!Margin of Error","Nebraska!!Female householder, no spouse present!!Percent below poverty level!!Estimate","Nebraska!!Female householder, no spouse present!!Percent below poverty level!!Margin of Error","North Dakota!!All families!!Total!!Estimate","North Dakota!!All families!!Total!!Margin of Error","North Dakota!!All families!!Percent below poverty level!!Estimate","North Dakota!!All families!!Percent below poverty level!!Margin of Error","North Dakota!!Married-couple families!!Total!!Estimate","North Dakota!!Married-couple families!!Total!!Margin of Error","North Dakota!!Married-couple families!!Percent below poverty level!!Estimate","North Dakota!!Married-couple families!!Percent below poverty level!!Margin of Error","North Dakota!!Female householder, no spouse present!!Total!!Estimate","North Dakota!!Female householder, no spouse present!!Total!!Margin of Error","North Dakota!!Female householder, no spouse present!!Percent below poverty level!!Estimate","North Dakota!!Female householder, no spouse present!!Percent below poverty level!!Margin of Error","South Dakota!!All families!!Total!!Estimate","South Dakota!!All families!!Total!!Margin of Error","South Dakota!!All families!!Percent below poverty level!!Estimate","South Dakota!!All families!!Percent below poverty level!!Margin of Error","South Dakota!!Married-couple families!!Total!!Estimate","South Dakota!!Married-couple families!!Total!!Margin of Error","South Dakota!!Married-couple families!!Percent below poverty level!!Estimate","South Dakota!!Married-couple families!!Percent below poverty level!!Margin of Error","South Dakota!!Female householder, no spouse present!!Total!!Estimate","South Dakota!!Female householder, no spouse present!!Total!!Margin of Error","South Dakota!!Female householder, no spouse present!!Percent below poverty level!!Estimate","South Dakota!!Female householder, no spouse present!!Percent below poverty level!!Margin of Error"
"            Asian alone","16,760","±1,772","8.2%","±4.7","14,449","±1,689","7.7%","±5.0","1,794","±809","11.6%","±17.0","67,098","±2,785","6.0%","±1.3","50,697","±2,705","5.4%","±1.5","9,724","±1,462","11.9%","±4.4","11,223","±1,267","9.6%","±4.0","9,626","±1,149","10.2%","±4.4","806","±409","11.0%","±16.8","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"            Native Hawaiian and Other Pacific Islander alone","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"            Some other race alone","17,545","±2,227","18.6%","±4.9","9,428","±1,685","6.1%","±3.1","5,058","±1,491","44.1%","±12.2","33,925","±2,743","10.9%","±2.6","22,550","±2,393","6.1%","±2.6","6,953","±1,609","27.2%","±9.0","21,099","±2,059","11.0%","±3.5","13,958","±1,757","8.0%","±3.9","3,965","±1,163","22.8%","±12.3","N","N","N","N","N","N","N","N","N","N","N","N","3,505","±974","24.9%","±13.4","2,062","±901","18.6%","±16.2","827","±508","34.5%","±33.6"
"            Two or more races","42,369","±3,613","12.9%","±3.4","28,773","±3,181","5.2%","±2.7","10,189","±2,096","33.7%","±9.4","72,045","±4,378","9.4%","±1.8","47,467","±3,902","4.3%","±1.5","14,920","±2,490","21.3%","±5.8","36,007","±2,875","12.6%","±3.1","21,638","±2,635","8.0%","±3.5","10,220","±2,001","24.0%","±7.7","8,812","±1,652","10.8%","±5.4","6,063","±1,265","7.1%","±4.1","1,866","±783","27.7%","±21.0","11,597","±1,933","10.0%","±6.0","8,558","±1,509","2.7%","±2.6","2,288","±953","40.4%","±23.3"
"            Hispanic or Latino origin (of any race)","49,639","±2,552","15.6%","±3.3","29,789","±2,653","5.1%","±2.2","13,440","±2,152","35.9%","±8.4","72,049","±3,483","11.6%","±1.9","46,532","±3,100","6.1%","±1.8","16,000","±2,177","28.0%","±6.0","52,372","±1,987","13.9%","±2.8","31,644","±2,076","10.6%","±3.4","13,009","±1,684","23.9%","±6.3","6,867","±1,684","8.5%","±5.8","4,740","±1,290","3.8%","±3.3","1,282","±695","29.2%","±22.9","9,516","±1,312","16.0%","±7.2","5,395","±1,127","10.9%","±7.4","2,208","±854","33.2%","±20.4"
"            White alone, not Hispanic or Latino","701,997","±7,761","5.5%","±0.4","569,985","±8,439","2.9%","±0.3","86,530","±4,428","20.0%","±2.1","1,169,770","±9,880","3.8%","±0.3","963,764","±9,905","2.2%","±0.2","131,394","±5,418","14.5%","±1.5","404,740","±4,928","4.5%","±0.5","336,411","±4,833","2.4%","±0.3","47,518","±3,079","17.8%","±2.8","162,118","±4,164","3.5%","±0.6","136,406","±4,457","2.4%","±0.5","14,815","±1,891","13.4%","±3.9","194,047","±4,075","4.7%","±0.8","160,722","±4,575","2.5%","±0.5","20,319","±2,565","19.3%","±5.0"
"    Householder worked","617,425","±9,723","5.7%","±0.5","472,258","±9,027","2.3%","±0.4","96,120","±5,209","20.7%","±2.3","1,109,583","±11,784","4.0%","±0.3","855,239","±10,970","1.7%","±0.2","161,595","±6,844","15.9%","±1.6","394,507","±5,267","4.8%","±0.6","306,281","±5,596","2.0%","±0.4","60,968","±3,833","17.0%","±2.4","150,214","±5,160","3.4%","±0.6","119,141","±5,069","1.2%","±0.5","18,429","±2,490","15.7%","±3.8","180,257","±4,919","5.3%","±1.1","140,249","±4,721","2.2%","±0.8","23,639","±2,731","20.0%","±5.1"
"        Householder worked full-time, year-round in the past 12 months","468,753","±7,838","2.8%","±0.4","361,375","±7,938","1.1%","±0.3","67,600","±4,763","10.7%","±2.3","815,905","±10,578","1.6%","±0.2","634,376","±9,624","0.9%","±0.2","106,556","±5,365","5.6%","±1.2","302,315","±5,056","1.9%","±0.4","238,145","±4,788","1.1%","±0.3","42,053","±3,251","5.7%","±1.7","114,039","±4,603","1.7%","±0.5","89,849","±4,752","0.8%","±0.4","13,053","±2,020","7.3%","±3.0","134,105","±4,228","2.4%","±0.8","106,408","±4,177","0.8%","±0.4","15,646","±2,061","10.4%","±5.3"
"    Householder 65 years and over","195,680","±4,092","4.2%","±0.6","174,350","±3,911","3.8%","±0.6","16,573","±1,987","6.4%","±2.7","335,936","±4,486","4.6%","±0.6","293,673","±4,774","4.0%","±0.5","29,989","±2,352","9.3%","±2.9","113,427","±3,021","5.2%","±0.9","99,495","±2,755","4.1%","±0.8","9,852","±1,284","13.7%","±5.5","41,967","±1,497","4.2%","±1.2","38,603","±1,442","3.8%","±1.2","2,073","±577","7.7%","±6.4","55,014","±2,059","4.3%","±0.9","49,184","±2,031","3.2%","±0.9","3,568","±775","14.5%","±7.2"
"    Family received --","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Supplemental Security Income (SSI) and/or cash public assistance income in the past 12 months","41,521","±3,068","14.7%","±2.3","26,632","±2,477","8.0%","±2.3","12,000","±1,746","28.2%","±6.0","73,439","±4,187","17.9%","±2.4","40,046","±2,956","7.4%","±1.9","25,344","±2,737","33.6%","±5.0","26,856","±2,709","19.8%","±4.8","14,102","±1,707","9.9%","±4.2","8,865","±1,611","35.8%","±10.6","6,982","±1,068","9.9%","±3.3","4,212","±834","4.1%","±2.7","2,222","±714","21.5%","±10.1","11,699","±1,819","32.3%","±7.2","6,965","±1,285","23.2%","±8.7","3,440","±928","53.7%","±11.4"
"        Social security income in the past 12 months","233,068","±4,640","4.7%","±0.7","201,995","±4,682","3.9%","±0.6","22,390","±2,266","10.5%","±3.0","390,808","±5,617","4.2%","±0.5","332,088","±5,640","3.3%","±0.4","38,573","±2,765","9.8%","±2.5","131,706","±3,570","4.9%","±0.8","112,019","±3,110","3.4%","±0.7","14,422","±1,879","14.0%","±5.4","47,738","±2,034","4.4%","±1.3","42,921","±1,835","4.0%","±1.3","2,770","±646","6.8%","±5.6","65,499","±2,803","5.0%","±1.2","56,122","±2,650","3.6%","±1.0","5,755","±1,202","18.6%","±8.3"
"    EDUCATIONAL ATTAINMENT OF HOUSEHOLDER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Less than high school graduate","45,674","±3,415","22.7%","±4.1","30,174","±2,571","15.8%","±4.0","10,890","±2,013","40.3%","±8.9","68,947","±4,281","21.9%","±3.0","40,244","±3,407","15.5%","±3.1","18,039","±2,718","40.5%","±7.9","32,221","±2,822","18.7%","±4.5","19,801","±2,091","10.6%","±3.9","8,339","±1,501","41.6%","±11.1","8,089","±1,322","11.2%","±4.9","5,302","±1,152","8.4%","±4.4","1,689","±647","17.0%","±14.5","12,817","±2,285","31.5%","±7.7","7,043","±1,342","13.6%","±5.5","3,682","±1,393","68.9%","±13.7"
"        High school graduate (includes equivalency)","209,100","±7,314","10.4%","±1.1","151,833","±6,042","5.0%","±0.8","32,876","±2,740","33.8%","±4.8","274,877","±6,934","8.8%","±0.9","193,858","±5,791","5.1%","±0.7","49,933","±3,883","23.3%","±3.6","107,874","±4,836","12.2%","±1.7","78,517","±4,160","6.5%","±1.7","19,863","±2,344","30.6%","±5.2","39,222","±2,638","8.1%","±2.0","30,310","±2,207","3.7%","±1.2","5,909","±1,271","24.0%","±10.1","53,038","±3,648","8.7%","±1.7","38,052","±2,856","5.1%","±1.5","8,193","±1,692","19.5%","±6.7"
"        Some college, associate's degree","276,778","±6,929","6.6%","±0.7","212,767","±6,779","3.3%","±0.5","47,393","±3,385","20.5%","±3.2","459,763","±8,651","6.0%","±0.5","345,173","±8,468","2.7%","±0.4","77,848","±4,480","19.9%","±2.4","164,305","±6,429","5.3%","±0.9","123,349","±5,615","2.4%","±0.7","29,499","±2,886","16.6%","±3.7","73,561","±3,576","7.1%","±1.9","56,929","±3,238","3.4%","±1.1","8,826","±1,698","24.4%","±7.5","77,952","±4,119","8.2%","±1.9","59,266","±3,312","3.5%","±1.2","12,819","±2,118","29.6%","±7.3"
"        Bachelor's degree or higher","288,240","±7,760","2.1%","±0.4","250,130","±6,945","1.3%","±0.3","27,464","±2,937","7.7%","±2.6","643,785","±9,786","1.8%","±0.2","560,965","±8,435","1.2%","±0.2","54,284","±3,800","7.3%","±1.7","203,100","±5,753","2.7%","±0.6","177,228","±5,809","1.9%","±0.5","18,322","±2,137","10.1%","±4.1","71,125","±3,925","1.3%","±0.6","62,870","±3,844","1.1%","±0.6","5,445","±1,159","4.3%","±3.8","87,883","±3,396","2.8%","±0.8","77,802","±2,924","2.2%","±0.8","6,139","±1,102","7.0%","±5.4"
"    NUMBER OF RELATED CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        No child","450,041","±8,634","3.3%","±0.3","389,874","±7,578","3.0%","±0.3","39,770","±3,401","6.6%","±1.6","805,863","±9,406","3.0%","±0.3","687,755","±8,911","2.5%","±0.3","72,547","±3,982","7.1%","±1.7","271,414","±5,370","3.8%","±0.5","233,042","±4,654","3.0%","±0.5","24,398","±2,448","8.9%","±3.0","101,431","±4,115","3.4%","±0.7","90,707","±3,749","2.9%","±0.8","5,858","±1,190","5.9%","±4.4","122,911","±4,134","3.0%","±0.6","108,337","±3,650","2.5%","±0.6","9,179","±1,459","8.6%","±3.8"
"        1 or 2 children","276,306","±7,377","8.9%","±1.1","184,228","±5,534","2.5%","±0.7","62,632","±4,108","25.0%","±3.3","482,278","±9,322","7.0%","±0.6","332,468","±6,968","2.0%","±0.4","99,913","±5,179","22.0%","±2.1","171,705","±4,413","8.3%","±1.2","117,775","±4,454","3.4%","±1.1","38,464","±3,235","21.9%","±3.6","69,696","±3,052","6.5%","±1.7","47,011","±3,348","1.8%","±0.8","13,811","±2,112","17.6%","±5.3","77,802","±3,603","10.0%","±1.9","50,532","±3,805","4.0%","±1.6","16,491","±2,352","27.1%","±6.4"
"        3 or 4 children","84,284","±4,344","16.7%","±2.2","64,108","±3,862","7.6%","±2.0","14,378","±2,339","55.2%","±7.9","142,915","±5,111","11.7%","±1.6","107,402","±4,274","5.1%","±1.1","24,705","±3,397","39.6%","±6.2","57,566","±3,497","12.5%","±2.6","43,577","±3,196","4.8%","±1.5","11,019","±1,859","40.8%","±9.4","18,830","±2,265","10.8%","±3.4","15,921","±2,057","3.8%","±2.3","2,035","±710","61.7%","±16.5","28,062","±2,576","18.6%","±4.9","20,886","±1,982","7.1%","±3.5","4,907","±1,370","59.5%","±13.0"
"        5 or more children","9,161","±1,639","28.6%","±8.5","6,694","±1,386","21.4%","±7.9","1,843","±809","60.6%","±22.9","16,316","±2,419","24.1%","±5.4","12,615","±2,050","18.8%","±6.3","2,939","±1,164","49.6%","±18.9","6,815","±1,530","24.9%","±11.1","4,501","±1,276","7.7%","±6.0","2,142","±1,011","56.9%","±21.9","2,040","±701","12.9%","±8.8","1,772","±668","5.6%","±5.5","165","±170","37.6%","±52.6","2,915","±850","26.5%","±13.6","2,408","±720","22.0%","±15.7","256","±213","66.4%","±39.0"
"    NUMBER OF OWN CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        No own child of the householder","469,272","±8,566","3.7%","±0.4","399,343","±7,602","3.0%","±0.4","46,828","±3,737","9.2%","±1.9","838,490","±8,925","3.3%","±0.3","700,698","±8,731","2.6%","±0.3","85,664","±4,258","8.1%","±1.4","283,949","±5,433","4.2%","±0.6","239,266","±4,710","3.1%","±0.5","29,090","±2,762","11.4%","±2.9","105,716","±4,209","3.8%","±0.8","92,640","±3,752","2.9%","±0.7","7,419","±1,367","9.5%","±6.4","130,525","±4,177","3.8%","±0.6","112,111","±3,536","2.6%","±0.6","11,815","±1,767","12.9%","±5.1"
"        1 or 2 own children of the householder","261,424","±7,120","8.7%","±1.1","177,060","±5,592","2.3%","±0.7","56,683","±3,710","25.6%","±3.3","457,264","±9,351","6.7%","±0.6","323,134","±7,199","2.0%","±0.4","90,026","±4,920","23.2%","±2.4","163,123","±4,429","8.2%","±1.2","113,662","±4,372","3.3%","±1.1","35,062","±3,094","22.3%","±3.7","66,531","±3,065","6.3%","±1.9","45,556","±3,250","1.8%","±0.8","12,750","±2,066","17.3%","±5.2","72,273","±3,574","9.8%","±2.0","48,034","±3,628","4.1%","±1.7","14,350","±2,273","27.9%","±7.2"
"        3 or 4 own children of the householder","80,620","±4,083","16.8%","±2.2","62,070","±3,708","7.8%","±2.0","13,332","±2,166","55.6%","±8.4","136,719","±4,916","11.5%","±1.7","104,751","±4,187","5.0%","±1.1","21,817","±3,227","42.2%","±6.8","54,709","±3,270","12.2%","±2.5","41,784","±3,060","4.8%","±1.5","10,507","±1,864","40.0%","±9.8","18,004","±2,196","10.0%","±3.5","15,591","±2,010","3.6%","±2.4","1,681","±634","69.8%","±16.0","26,558","±2,474","18.9%","±5.2","19,763","±1,914","7.0%","±3.7","4,661","±1,360","60.6%","±13.6"
"        5 or more own children of the householder","8,476","±1,598","30.8%","±9.1","6,431","±1,355","22.3%","±8.2","1,780","±817","62.0%","±23.7","14,899","±2,339","25.2%","±5.9","11,657","±1,933","19.7%","±6.7","2,597","±1,161","51.8%","±21.2","5,719","±1,390","25.7%","±12.2","4,183","±1,233","8.2%","±6.4","1,364","±761","72.5%","±21.6","1,746","±695","11.7%","±8.5","1,624","±673","5.0%","±5.4","19","±33","100.0%","±100.0","2,334","±700","20.1%","±15.7","2,255","±688","17.3%","±15.6","7","±12","100.0%","±100.0"
"    NUMBER OF PEOPLE IN FAMILY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        2 people","424,457","±8,363","5.4%","±0.5","333,864","±7,379","3.2%","±0.4","58,013","±3,775","16.3%","±2.7","730,053","±10,632","4.8%","±0.4","566,746","±8,795","2.8%","±0.3","102,568","±4,999","15.0%","±2.1","254,946","±6,187","5.8%","±0.7","199,685","±4,728","3.4%","±0.6","36,523","±3,112","16.3%","±3.2","102,467","±4,223","4.9%","±1.2","80,222","±3,411","3.3%","±0.9","12,237","±2,145","7.9%","±3.8","121,314","±4,419","5.1%","±0.9","96,381","±3,683","2.6%","±0.7","16,206","±2,384","19.7%","±5.4"
"        3 or 4 people","290,363","±7,244","7.4%","±0.9","218,980","±6,676","2.3%","±0.5","51,342","±3,668","26.0%","±3.2","530,285","±8,375","5.0%","±0.6","412,686","±7,210","1.8%","±0.3","78,009","±4,956","21.0%","±2.8","179,367","±6,087","6.8%","±1.1","136,056","±5,054","2.9%","±0.9","31,336","±2,859","23.3%","±3.8","66,630","±3,521","5.5%","±1.2","53,727","±3,402","1.5%","±0.7","8,652","±1,648","30.0%","±8.2","78,059","±3,953","8.7%","±1.8","58,302","±4,064","3.3%","±1.4","11,014","±1,493","27.9%","±7.1"
"        5 or 6 people","92,557","±4,370","10.6%","±1.8","81,631","±4,515","6.5%","±1.6","7,992","±1,528","50.3%","±11.8","160,283","±5,670","8.0%","±1.3","138,189","±5,307","4.4%","±0.8","16,450","±2,387","34.9%","±7.7","62,455","±3,687","7.6%","±1.9","54,307","±3,542","4.0%","±1.2","6,630","±1,592","34.6%","±11.7","20,279","±2,232","6.7%","±2.5","19,079","±2,109","3.4%","±2.1","779","±449","63.3%","±20.2","27,897","±2,410","12.4%","±4.7","23,676","±2,139","6.8%","±3.2","3,113","±1,243","57.0%","±18.6"
"        7 or more people","12,415","±1,872","17.5%","±5.9","10,429","±1,692","15.4%","±5.5","1,276","±672","39.3%","±22.2","26,751","±2,408","14.6%","±3.6","22,619","±2,286","12.4%","±3.6","3,077","±968","28.5%","±17.6","10,732","±1,725","14.9%","±5.9","8,847","±1,636","6.4%","±3.7","1,534","±782","48.7%","±26.0","2,621","±834","7.8%","±5.1","2,383","±824","5.6%","±5.1","201","±198","21.4%","±39.4","4,420","±1,098","22.5%","±10.5","3,804","±1,033","16.0%","±11.4","500","±357","63.6%","±31.6"
