"Label (Grouping)","Iowa!!Total!!Estimate","Iowa!!Total!!Margin of Error","Iowa!!Percent!!Estimate","Iowa!!Percent!!Margin of Error","Iowa!!In public school!!Estimate","Iowa!!In public school!!Margin of Error","Iowa!!Percent in public school!!Estimate","Iowa!!Percent in public school!!Margin of Error","Iowa!!In private school!!Estimate","Iowa!!In private school!!Margin of Error","Iowa!!Percent in private school!!Estimate","Iowa!!Percent in private school!!Margin of Error","Minnesota!!Total!!Estimate","Minnesota!!Total!!Margin of Error","Minnesota!!Percent!!Estimate","Minnesota!!Percent!!Margin of Error","Minnesota!!In public school!!Estimate","Minnesota!!In public school!!Margin of Error","Minnesota!!Percent in public school!!Estimate","Minnesota!!Percent in public school!!Margin of Error","Minnesota!!In private school!!Estimate","Minnesota!!In private school!!Margin of Error","Minnesota!!Percent in private school!!Estimate","Minnesota!!Percent in private school!!Margin of Error","Nebraska!!Total!!Estimate","Nebraska!!Total!!Margin of Error","Nebraska!!Percent!!Estimate","Nebraska!!Percent!!Margin of Error","Nebraska!!In public school!!Estimate","Nebraska!!In public school!!Margin of Error","Nebraska!!Percent in public school!!Estimate","Nebraska!!Percent in public school!!Margin of Error","Nebraska!!In private school!!Estimate","Nebraska!!In private school!!Margin of Error","Nebraska!!Percent in private school!!Estimate","Nebraska!!Percent in private school!!Margin of Error","North Dakota!!Total!!Estimate","North Dakota!!Total!!Margin of Error","North Dakota!!Percent!!Estimate","North Dakota!!Percent!!Margin of Error","North Dakota!!In public school!!Estimate","North Dakota!!In public school!!Margin of Error","North Dakota!!Percent in public school!!Estimate","North Dakota!!Percent in public school!!Margin of Error","North Dakota!!In private school!!Estimate","North Dakota!!In private school!!Margin of Error","North Dakota!!Percent in private school!!Estimate","North Dakota!!Percent in private school!!Margin of Error","South Dakota!!Total!!Estimate","South Dakota!!Total!!Margin of Error","South Dakota!!Percent!!Estimate","South Dakota!!Percent!!Margin of Error","South Dakota!!In public school!!Estimate","South Dakota!!In public school!!Margin of Error","South Dakota!!Percent in public school!!Estimate","South Dakota!!Percent in public school!!Margin of Error","South Dakota!!In private school!!Estimate","South Dakota!!In private school!!Margin of Error","South Dakota!!Percent in private school!!Estimate","South Dakota!!Percent in private school!!Margin of Error"
"    Males enrolled in college or graduate school","88,829","±4,132","22.8%","±0.9","67,134","±3,668","75.6%","±2.0","21,695","±1,963","24.4%","±2.0","148,022","±6,262","21.6%","±0.7","110,775","±5,846","74.8%","±1.8","37,247","±2,795","25.2%","±1.8","55,169","±4,515","21.6%","±1.4","42,897","±3,878","77.8%","±3.9","12,272","±2,480","22.2%","±3.9","28,702","±3,403","29.4%","±2.6","25,377","±3,149","88.4%","±3.6","3,325","±1,107","11.6%","±3.6","19,728","±1,894","17.8%","±1.4","17,550","±1,713","89.0%","±3.2","2,178","±696","11.0%","±3.2"
"    Females enrolled in college or graduate school","105,138","±4,452","26.6%","±0.9","79,706","±4,202","75.8%","±2.1","25,432","±2,386","24.2%","±2.1","185,709","±6,036","26.4%","±0.6","134,831","±5,621","72.6%","±1.8","50,878","±3,704","27.4%","±1.8","71,421","±3,205","27.5%","±1.0","55,001","±3,250","77.0%","±3.1","16,420","±2,382","23.0%","±3.1","29,816","±2,615","30.7%","±2.1","26,340","±2,527","88.3%","±3.4","3,476","±1,041","11.7%","±3.4","25,507","±2,106","23.8%","±1.8","21,547","±1,991","84.5%","±3.1","3,960","±835","15.5%","±3.1"
"Population 3 to 4 years","76,786","±3,234","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","133,193","±4,579","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","50,483","±2,807","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","19,722","±1,727","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","20,923","±1,841","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    3 to 4 year olds enrolled in school","35,319","±2,955","46.0%","±2.8","23,920","±2,599","67.7%","±4.3","11,399","±1,745","32.3%","±4.3","63,352","±3,236","47.6%","±2.0","38,477","±2,689","60.7%","±3.0","24,875","±2,353","39.3%","±3.0","23,085","±2,253","45.7%","±4.0","14,877","±1,841","64.4%","±5.5","8,208","±1,536","35.6%","±5.5","5,293","±941","26.8%","±4.2","2,937","±736","55.5%","±10.1","2,356","±691","44.5%","±10.1","8,691","±1,461","41.5%","±6.2","6,310","±1,385","72.6%","±7.8","2,381","±700","27.4%","±7.8"
"Population 5 to 9 years","200,296","±5,928","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","348,596","±7,136","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","130,577","±4,399","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","52,058","±2,561","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","61,176","±2,710","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    5 to 9 year olds enrolled in school","192,439","±5,722","96.1%","±0.8","162,756","±5,714","84.6%","±1.5","29,683","±3,054","15.4%","±1.5","332,151","±7,199","95.3%","±0.7","277,951","±7,040","83.7%","±1.1","54,200","±3,880","16.3%","±1.1","124,734","±4,702","95.5%","±1.1","104,607","±4,172","83.9%","±1.9","20,127","±2,655","16.1%","±1.9","47,328","±2,566","90.9%","±2.0","39,349","±2,572","83.1%","±3.2","7,979","±1,604","16.9%","±3.2","56,229","±2,714","91.9%","±2.2","49,645","±2,657","88.3%","±2.3","6,584","±1,373","11.7%","±2.3"
"Population 10 to 14 years","210,274","±6,037","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","385,909","±6,411","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","141,003","±4,282","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","51,737","±2,969","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","64,030","±3,018","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    10 to 14 year olds enrolled in school","208,090","±6,095","99.0%","±0.4","182,693","±6,878","87.8%","±1.5","25,397","±2,994","12.2%","±1.5","379,279","±6,353","98.3%","±0.3","329,510","±6,674","86.9%","±0.8","49,769","±3,115","13.1%","±0.8","139,145","±4,173","98.7%","±0.4","119,596","±4,721","86.0%","±2.1","19,549","±2,926","14.0%","±2.1","50,009","±3,119","96.7%","±1.8","45,669","±3,185","91.3%","±2.1","4,340","±1,021","8.7%","±2.1","61,883","±2,916","96.6%","±1.2","54,775","±3,034","88.5%","±2.1","7,108","±1,326","11.5%","±2.1"
"Population 15 to 17","132,914","±1,850","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","233,475","±1,848","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","86,515","±1,625","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","29,317","±1,440","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","38,715","±1,024","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    15 to 17 year olds enrolled in school","128,655","±2,013","96.8%","±0.8","116,672","±2,631","90.7%","±1.3","11,983","±1,596","9.3%","±1.3","228,819","±2,257","98.0%","±0.5","208,946","±3,019","91.3%","±0.9","19,873","±2,181","8.7%","±0.9","85,344","±1,682","98.6%","±0.5","74,930","±2,287","87.8%","±1.8","10,414","±1,503","12.2%","±1.8","27,672","±1,515","94.4%","±2.0","24,870","±1,632","89.9%","±3.3","2,802","±932","10.1%","±3.3","37,001","±1,226","95.6%","±1.6","32,495","±1,293","87.8%","±2.0","4,506","±767","12.2%","±2.0"
"Population 18 to 19 years","92,556","±3,310","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","152,527","±3,505","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","51,940","±1,980","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","25,055","±2,419","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","27,087","±2,057","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    18 and 19 year olds enrolled in school","65,770","±3,020","71.1%","±2.3","53,860","±2,934","81.9%","±1.5","11,910","±1,000","18.1%","±1.5","113,563","±3,685","74.5%","±2.1","88,852","±3,689","78.2%","±1.6","24,711","±1,891","21.8%","±1.6","39,659","±2,244","76.4%","±3.2","32,459","±2,386","81.8%","±3.7","7,200","±1,525","18.2%","±3.7","19,800","±2,074","79.0%","±4.5","18,321","±1,943","92.5%","±3.7","1,479","±775","7.5%","±3.7","18,302","±1,783","67.6%","±4.7","15,795","±1,694","86.3%","±4.2","2,507","±811","13.7%","±4.2"
"Population 20 to 24 years","222,476","±4,164","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","348,838","±3,819","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","140,599","±2,796","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","59,265","±3,128","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","57,907","±2,480","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    20 to 24 year olds enrolled in school","84,278","±4,326","37.9%","±1.9","65,886","±4,019","78.2%","±2.0","18,392","±1,753","21.8%","±2.0","126,689","±5,747","36.3%","±1.6","97,346","±5,180","76.8%","±2.0","29,343","±2,865","23.2%","±2.0","54,175","±4,378","38.5%","±2.9","42,017","±4,023","77.6%","±5.9","12,158","±3,547","22.4%","±5.9","23,630","±2,716","39.9%","±4.4","21,555","±2,537","91.2%","±3.0","2,075","±773","8.8%","±3.0","19,853","±2,374","34.3%","±3.6","17,629","±2,399","88.8%","±3.9","2,224","±745","11.2%","±3.9"
"Population 25 to 34 years","398,626","±4,804","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","739,675","±4,338","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","254,207","±3,167","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","114,831","±3,034","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","114,987","±3,159","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    25 to 34 year olds enrolled in school","35,891","±3,323","9.0%","±0.8","26,792","±2,924","74.6%","±3.7","9,099","±1,498","25.4%","±3.7","68,416","±4,362","9.2%","±0.6","53,547","±4,023","78.3%","±2.7","14,869","±1,973","21.7%","±2.7","27,665","±2,747","10.9%","±1.1","20,976","±2,181","75.8%","±4.5","6,689","±1,515","24.2%","±4.5","12,075","±2,291","10.5%","±2.0","10,348","±2,158","85.7%","±6.7","1,727","±858","14.3%","±6.7","8,119","±1,550","7.1%","±1.3","7,147","±1,496","88.0%","±6.1","972","±504","12.0%","±6.1"
"Population 35 years and over","1,767,799","±4,494","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","3,201,900","±3,838","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","1,053,039","±3,460","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","405,175","±2,895","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","500,530","±2,053","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    35 years and over enrolled in school","33,216","±3,210","1.9%","±0.2","24,223","±2,666","72.9%","±3.9","8,993","±1,559","27.1%","±3.9","75,602","±5,378","2.4%","±0.2","52,363","±4,146","69.3%","±3.5","23,239","±3,341","30.7%","±3.5","21,176","±2,151","2.0%","±0.2","16,498","±1,874","77.9%","±3.8","4,678","±941","22.1%","±3.8","9,005","±1,396","2.2%","±0.3","7,267","±1,347","80.7%","±6.6","1,738","±619","19.3%","±6.6","7,985","±1,422","1.6%","±0.3","6,106","±1,143","76.5%","±6.4","1,879","±641","23.5%","±6.4"
"Population 18 to 24 years","315,032","±4,238","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","501,365","±3,592","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","192,539","±2,229","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","84,320","±2,883","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","84,994","±2,440","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Enrolled in college or graduate school","125,997","±4,730","40.0%","±1.4","97,055","±4,619","77.0%","±1.5","28,942","±1,816","23.0%","±1.5","194,175","±6,130","38.7%","±1.2","144,055","±6,018","74.2%","±1.6","50,120","±3,138","25.8%","±1.6","79,467","±4,506","41.3%","±2.2","62,038","±4,591","78.1%","±4.3","17,429","±3,628","21.9%","±4.3","37,902","±2,539","45.0%","±3.3","34,704","±2,599","91.6%","±2.3","3,198","±857","8.4%","±2.3","29,235","±2,175","34.4%","±2.7","25,960","±2,166","88.8%","±2.8","3,275","±824","11.2%","±2.8"
"    Males 18 to 24 years","165,041","±2,655","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","256,677","±2,692","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","99,002","±1,543","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","43,524","±1,658","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","45,322","±1,676","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Enrolled in college or graduate school","61,831","±3,237","37.5%","±1.9","46,838","±2,937","75.8%","±2.3","14,993","±1,539","24.2%","±2.3","89,798","±4,971","35.0%","±1.9","67,769","±4,633","75.5%","±2.5","22,029","±2,366","24.5%","±2.5","37,043","±3,697","37.4%","±3.7","29,583","±3,509","79.9%","±5.1","7,460","±2,020","20.1%","±5.1","18,537","±2,565","42.6%","±5.8","17,360","±2,452","93.7%","±2.7","1,177","±511","6.3%","±2.7","13,112","±1,498","28.9%","±3.2","11,715","±1,437","89.3%","±4.0","1,397","±551","10.7%","±4.0"
"    Females 18 to 24 years","149,991","±2,837","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","244,688","±2,256","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","93,537","±1,530","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","40,796","±1,940","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","39,672","±1,911","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Enrolled in college or graduate school","64,166","±3,410","42.8%","±2.1","50,217","±3,483","78.3%","±2.5","13,949","±1,567","21.7%","±2.5","104,377","±4,131","42.7%","±1.6","76,286","±3,777","73.1%","±2.2","28,091","±2,530","26.9%","±2.2","42,424","±2,270","45.4%","±2.4","32,455","±2,528","76.5%","±4.7","9,969","±2,122","23.5%","±4.7","19,365","±2,101","47.5%","±5.2","17,344","±1,999","89.6%","±4.1","2,021","±830","10.4%","±4.1","16,123","±1,717","40.6%","±4.6","14,245","±1,713","88.4%","±3.6","1,878","±585","11.6%","±3.6"
