"Label (Grouping)","Iowa!!Total!!Estimate","Iowa!!Total!!Margin of Error","Iowa!!Below poverty level!!Estimate","Iowa!!Below poverty level!!Margin of Error","Iowa!!Percent below poverty level!!Estimate","Iowa!!Percent below poverty level!!Margin of Error","Minnesota!!Total!!Estimate","Minnesota!!Total!!Margin of Error","Minnesota!!Below poverty level!!Estimate","Minnesota!!Below poverty level!!Margin of Error","Minnesota!!Percent below poverty level!!Estimate","Minnesota!!Percent below poverty level!!Margin of Error","Nebraska!!Total!!Estimate","Nebraska!!Total!!Margin of Error","Nebraska!!Below poverty level!!Estimate","Nebraska!!Below poverty level!!Margin of Error","Nebraska!!Percent below poverty level!!Estimate","Nebraska!!Percent below poverty level!!Margin of Error","North Dakota!!Total!!Estimate","North Dakota!!Total!!Margin of Error","North Dakota!!Below poverty level!!Estimate","North Dakota!!Below poverty level!!Margin of Error","North Dakota!!Percent below poverty level!!Estimate","North Dakota!!Percent below poverty level!!Margin of Error","South Dakota!!Total!!Estimate","South Dakota!!Total!!Margin of Error","South Dakota!!Below poverty level!!Estimate","South Dakota!!Below poverty level!!Margin of Error","South Dakota!!Percent below poverty level!!Estimate","South Dakota!!Percent below poverty level!!Margin of Error"
"        Population 25 years and over","2,124,082","±4,760","192,251","±8,481","9.1%","±0.4","3,887,094","±3,526","308,074","±9,149","7.9%","±0.2","1,288,139","±2,740","112,976","±6,245","8.8%","±0.5","510,286","±3,340","41,934","±3,330","8.2%","±0.7","601,208","±2,864","58,396","±4,112","9.7%","±0.7"
"            Less than high school graduate","140,708","±4,992","32,901","±4,219","23.4%","±2.6","217,518","±8,413","49,204","±3,751","22.6%","±1.5","92,828","±4,563","20,252","±2,702","21.8%","±2.6","27,054","±2,476","5,341","±1,001","19.7%","±3.6","37,696","±3,532","11,738","±2,000","31.1%","±4.2"
"            High school graduate (includes equivalency)","629,185","±10,578","81,790","±5,252","13.0%","±0.8","890,074","±12,008","110,831","±6,149","12.5%","±0.6","314,566","±8,529","40,545","±3,399","12.9%","±1.0","123,122","±4,812","15,354","±1,784","12.5%","±1.4","163,481","±5,117","20,464","±2,034","12.5%","±1.2"
"            Some college, associate's degree","679,066","±11,228","53,991","±3,416","8.0%","±0.5","1,210,567","±12,728","93,753","±4,308","7.7%","±0.4","421,314","±9,558","32,321","±3,119","7.7%","±0.7","187,280","±5,583","15,457","±2,758","8.3%","±1.4","196,271","±5,926","16,609","±2,367","8.5%","±1.2"
"            Bachelor's degree or higher","675,123","±12,556","23,569","±2,752","3.5%","±0.4","1,568,935","±14,563","54,286","±4,273","3.5%","±0.3","459,431","±9,938","19,858","±2,187","4.3%","±0.5","172,830","±6,506","5,782","±1,091","3.3%","±0.6","203,760","±5,379","9,585","±1,793","4.7%","±0.9"
"    EMPLOYMENT STATUS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Civilian labor force 16 years and over","1,678,000","±11,212","118,298","±6,410","7.0%","±0.4","3,117,370","±12,433","165,982","±7,420","5.3%","±0.2","1,056,986","±6,730","67,710","±5,469","6.4%","±0.5","413,774","±5,601","27,843","±3,009","6.7%","±0.7","480,736","±5,973","32,985","±3,743","6.9%","±0.8"
"            Employed","1,633,153","±12,667","104,688","±5,894","6.4%","±0.4","3,024,835","±11,827","142,668","±7,044","4.7%","±0.2","1,030,761","±7,863","59,081","±4,960","5.7%","±0.5","402,653","±5,854","24,431","±2,739","6.1%","±0.7","468,466","±5,893","28,035","±3,178","6.0%","±0.7"
"                Male","855,591","±9,351","43,111","±3,226","5.0%","±0.4","1,577,235","±7,845","60,794","±4,260","3.9%","±0.3","546,202","±4,990","28,536","±3,529","5.2%","±0.6","215,691","±4,401","9,727","±1,748","4.5%","±0.8","247,702","±4,009","12,401","±2,079","5.0%","±0.8"
"                Female","777,562","±6,835","61,577","±4,634","7.9%","±0.6","1,447,600","±10,295","81,874","±5,266","5.7%","±0.4","484,559","±5,767","30,545","±3,008","6.3%","±0.6","186,962","±3,868","14,704","±2,240","7.9%","±1.2","220,764","±4,072","15,634","±2,403","7.1%","±1.1"
"            Unemployed","44,847","±3,951","13,610","±2,431","30.3%","±4.5","92,535","±5,144","23,314","±2,629","25.2%","±2.1","26,225","±3,272","8,629","±1,973","32.9%","±5.3","11,121","±2,370","3,412","±1,304","30.7%","±8.6","12,270","±2,015","4,950","±1,447","40.3%","±8.6"
"                Male","27,292","±3,295","8,628","±1,958","31.6%","±5.4","53,052","±4,038","12,560","±1,941","23.7%","±2.8","13,233","±2,289","4,727","±1,362","35.7%","±7.4","5,081","±1,230","1,258","±666","24.8%","±11.8","5,195","±1,120","1,678","±418","32.3%","±7.3"
"                Female","17,555","±2,302","4,982","±1,238","28.4%","±6.0","39,483","±3,191","10,754","±1,672","27.2%","±3.2","12,992","±2,020","3,902","±1,289","30.0%","±7.7","6,040","±1,854","2,154","±1,098","35.7%","±12.1","7,075","±1,538","3,272","±1,258","46.2%","±13.4"
"    WORK EXPERIENCE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Population 16 years and over","2,482,206","±3,419","265,770","±10,436","10.7%","±0.4","4,498,292","±4,007","405,987","±12,161","9.0%","±0.3","1,516,471","±2,929","155,794","±8,979","10.3%","±0.6","597,205","±2,487","60,376","±3,835","10.1%","±0.7","700,313","±1,927","75,902","±5,138","10.8%","±0.7"
"            Worked full-time, year-round in the past 12 months","1,198,167","±12,909","28,723","±2,811","2.4%","±0.2","2,142,438","±15,247","33,022","±2,629","1.5%","±0.1","769,342","±7,666","19,737","±3,175","2.6%","±0.4","304,973","±6,362","4,956","±902","1.6%","±0.3","345,081","±5,608","9,752","±1,893","2.8%","±0.5"
"            Worked part-time or part-year in the past 12 months","567,308","±11,773","104,080","±6,877","18.3%","±1.1","1,125,493","±15,009","150,410","±7,160","13.4%","±0.6","344,362","±6,928","55,275","±4,699","16.1%","±1.3","142,152","±5,569","25,894","±2,894","18.2%","±1.8","164,204","±6,412","25,165","±2,878","15.3%","±1.7"
"            Did not work","716,731","±10,394","132,967","±7,715","18.6%","±0.9","1,230,361","±10,978","222,555","±8,222","18.1%","±0.6","402,767","±7,016","80,782","±5,499","20.1%","±1.3","150,080","±4,405","29,526","±2,873","19.7%","±1.7","191,028","±5,332","40,985","±3,235","21.5%","±1.6"
"    ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        50 percent of poverty level","150,154","±8,737","(X)","(X)","(X)","(X)","241,105","±11,113","(X)","(X)","(X)","(X)","92,639","±7,322","(X)","(X)","(X)","(X)","33,698","±3,859","(X)","(X)","(X)","(X)","45,045","±4,943","(X)","(X)","(X)","(X)"
"        125 percent of poverty level","455,349","±17,217","(X)","(X)","(X)","(X)","683,748","±21,240","(X)","(X)","(X)","(X)","266,270","±12,504","(X)","(X)","(X)","(X)","93,635","±6,841","(X)","(X)","(X)","(X)","138,610","±8,223","(X)","(X)","(X)","(X)"
"        150 percent of poverty level","571,211","±19,528","(X)","(X)","(X)","(X)","856,473","±21,990","(X)","(X)","(X)","(X)","341,136","±13,142","(X)","(X)","(X)","(X)","115,230","±6,700","(X)","(X)","(X)","(X)","175,903","±8,643","(X)","(X)","(X)","(X)"
"        185 percent of poverty level","750,036","±22,732","(X)","(X)","(X)","(X)","1,121,734","±23,867","(X)","(X)","(X)","(X)","452,170","±14,036","(X)","(X)","(X)","(X)","153,223","±6,997","(X)","(X)","(X)","(X)","233,479","±9,761","(X)","(X)","(X)","(X)"
"        200 percent of poverty level","846,327","±22,585","(X)","(X)","(X)","(X)","1,237,674","±24,883","(X)","(X)","(X)","(X)","510,518","±15,403","(X)","(X)","(X)","(X)","172,098","±7,247","(X)","(X)","(X)","(X)","259,580","±10,024","(X)","(X)","(X)","(X)"
"        300 percent of poverty level","1,407,592","±22,922","(X)","(X)","(X)","(X)","2,089,687","±28,872","(X)","(X)","(X)","(X)","864,605","±15,132","(X)","(X)","(X)","(X)","302,278","±11,389","(X)","(X)","(X)","(X)","411,416","±10,221","(X)","(X)","(X)","(X)"
"        400 percent of poverty level","1,893,648","±21,672","(X)","(X)","(X)","(X)","2,909,930","±24,979","(X)","(X)","(X)","(X)","1,161,462","±16,040","(X)","(X)","(X)","(X)","409,656","±11,119","(X)","(X)","(X)","(X)","557,617","±11,524","(X)","(X)","(X)","(X)"
"        500 percent of poverty level","2,272,804","±20,391","(X)","(X)","(X)","(X)","3,635,357","±29,872","(X)","(X)","(X)","(X)","1,386,071","±15,230","(X)","(X)","(X)","(X)","514,190","±9,807","(X)","(X)","(X)","(X)","655,647","±10,958","(X)","(X)","(X)","(X)"
"UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED","704,281","±11,223","167,218","±7,627","23.7%","±0.9","1,264,666","±17,623","264,118","±8,707","20.9%","±0.6","416,891","±9,101","96,165","±6,232","23.1%","±1.4","194,680","±7,869","43,293","±3,409","22.2%","±1.6","197,562","±6,983","42,808","±3,347","21.7%","±1.6"
"    Male","352,263","±7,312","75,063","±5,606","21.3%","±1.5","634,154","±11,681","120,329","±5,450","19.0%","±0.8","214,137","±5,904","44,883","±4,234","21.0%","±1.8","103,203","±5,072","17,726","±2,225","17.2%","±2.0","98,089","±4,634","19,385","±2,380","19.8%","±2.1"
"    Female","352,018","±7,035","92,155","±4,662","26.2%","±1.1","630,512","±11,375","143,789","±6,143","22.8%","±0.8","202,754","±6,231","51,282","±3,545","25.3%","±1.7","91,477","±4,322","25,567","±2,415","27.9%","±2.5","99,473","±4,442","23,423","±2,546","23.5%","±2.3"
"    15 years","907","±440","907","±440","100.0%","±12.6","779","±442","774","±442","99.4%","±1.4","834","±495","834","±495","100.0%","±13.9","309","±332","309","±332","100.0%","±32.0","432","±315","432","±315","100.0%","±25.1"
"    16 to 17 years","3,093","±828","2,961","±843","95.7%","±4.9","3,086","±698","2,852","±718","92.4%","±7.9","1,526","±917","1,510","±918","99.0%","±1.8","621","±470","598","±470","96.3%","±3.3","533","±289","328","±231","61.5%","±34.0"
"    18 to 24 years","126,080","±4,722","52,409","±3,804","41.6%","±2.7","171,618","±6,549","67,174","±5,484","39.1%","±2.7","76,902","±4,843","28,759","±4,982","37.4%","±5.4","39,610","±3,523","14,535","±2,374","36.7%","±5.2","29,710","±2,701","9,790","±1,955","33.0%","±6.0"
"    25 to 34 years","133,072","±5,526","20,286","±2,409","15.2%","±1.7","280,965","±8,851","34,844","±3,084","12.4%","±1.0","83,409","±3,950","11,984","±1,926","14.4%","±2.1","44,128","±3,306","6,403","±1,607","14.5%","±3.5","37,812","±2,969","6,159","±1,369","16.3%","±3.5"
"    35 to 44 years","76,088","±4,827","14,953","±2,058","19.7%","±2.5","154,339","±6,430","26,185","±2,639","17.0%","±1.6","49,589","±3,832","9,351","±1,552","18.9%","±2.9","19,691","±2,365","2,439","±746","12.4%","±3.6","25,729","±3,051","4,992","±1,104","19.4%","±4.0"
"    45 to 54 years","74,271","±4,430","15,253","±2,151","20.5%","±2.7","134,373","±5,347","25,102","±2,762","18.7%","±2.1","39,982","±3,418","9,421","±1,492","23.6%","±3.5","18,761","±1,938","3,151","±864","16.8%","±4.3","21,425","±2,512","4,714","±1,374","22.0%","±5.5"
"    55 to 64 years","100,243","±4,911","22,605","±2,382","22.6%","±2.1","183,333","±6,482","40,175","±3,016","21.9%","±1.4","56,900","±3,471","11,400","±1,505","20.0%","±2.5","26,574","±2,567","5,738","±1,213","21.6%","±4.1","27,751","±2,338","6,229","±1,192","22.4%","±3.9"
"    65 to 74 years","96,173","±4,019","20,521","±2,224","21.3%","±1.9","179,546","±5,464","34,440","±2,041","19.2%","±1.1","54,976","±3,369","11,425","±1,376","20.8%","±2.2","23,093","±1,992","4,988","±1,026","21.6%","±4.2","30,505","±2,289","5,460","±1,233","17.9%","±3.5"
"    75 years and over","94,354","±3,488","17,323","±1,859","18.4%","±2.0","156,627","±5,068","32,572","±2,653","20.8%","±1.6","52,773","±2,881","11,481","±1,414","21.8%","±2.3","21,893","±1,697","5,132","±1,030","23.4%","±4.5","23,665","±1,555","4,704","±815","19.9%","±3.5"
"    Mean income deficit for unrelated individuals (dollars)","8,445","±233","(X)","(X)","(X)","(X)","8,510","±178","(X)","(X)","(X)","(X)","8,542","±293","(X)","(X)","(X)","(X)","7,945","±444","(X)","(X)","(X)","(X)","7,991","±426","(X)","(X)","(X)","(X)"
"    Worked full-time, year-round in the past 12 months","318,459","±8,606","11,424","±2,139","3.6%","±0.7","575,538","±13,651","16,264","±1,923","2.8%","±0.3","204,754","±6,499","11,891","±3,203","5.8%","±1.6","95,171","±6,156","2,633","±729","2.8%","±0.7","94,294","±5,449","5,019","±1,359","5.3%","±1.4"
"    Worked less than full-time, year-round in the past 12 months","163,806","±6,113","69,401","±4,992","42.4%","±2.3","310,678","±9,727","99,009","±5,956","31.9%","±1.5","92,481","±4,924","34,463","±3,578","37.3%","±3.2","50,119","±4,378","20,509","±2,810","40.9%","±3.9","44,169","±3,675","14,411","±2,296","32.6%","±4.4"
"    Did not work","222,016","±7,326","86,393","±5,357","38.9%","±1.7","378,450","±7,198","148,845","±6,048","39.3%","±1.3","119,656","±5,523","49,811","±3,825","41.6%","±1.9","49,390","±3,321","20,151","±2,228","40.8%","±3.0","59,099","±3,703","23,378","±2,148","39.6%","±2.7"
"    Population in housing units for whom poverty status is determined","3,099,717","±2,176","344,325","±14,201","11.1%","±0.5","5,583,307","±2,239","497,229","±17,291","8.9%","±0.3","1,925,546","±1,141","198,115","±12,729","10.3%","±0.7","752,064","±1,288","71,961","±5,347","9.6%","±0.7","884,262","±963","101,472","±8,510","11.5%","±1.0"
