"Label (Grouping)","Iowa!!Total!!Estimate","Iowa!!Total!!Margin of Error","Iowa!!Labor Force Participation Rate!!Estimate","Iowa!!Labor Force Participation Rate!!Margin of Error","Iowa!!Employment/Population Ratio!!Estimate","Iowa!!Employment/Population Ratio!!Margin of Error","Iowa!!Unemployment rate!!Estimate","Iowa!!Unemployment rate!!Margin of Error","Minnesota!!Total!!Estimate","Minnesota!!Total!!Margin of Error","Minnesota!!Labor Force Participation Rate!!Estimate","Minnesota!!Labor Force Participation Rate!!Margin of Error","Minnesota!!Employment/Population Ratio!!Estimate","Minnesota!!Employment/Population Ratio!!Margin of Error","Minnesota!!Unemployment rate!!Estimate","Minnesota!!Unemployment rate!!Margin of Error","Nebraska!!Total!!Estimate","Nebraska!!Total!!Margin of Error","Nebraska!!Labor Force Participation Rate!!Estimate","Nebraska!!Labor Force Participation Rate!!Margin of Error","Nebraska!!Employment/Population Ratio!!Estimate","Nebraska!!Employment/Population Ratio!!Margin of Error","Nebraska!!Unemployment rate!!Estimate","Nebraska!!Unemployment rate!!Margin of Error","North Dakota!!Total!!Estimate","North Dakota!!Total!!Margin of Error","North Dakota!!Labor Force Participation Rate!!Estimate","North Dakota!!Labor Force Participation Rate!!Margin of Error","North Dakota!!Employment/Population Ratio!!Estimate","North Dakota!!Employment/Population Ratio!!Margin of Error","North Dakota!!Unemployment rate!!Estimate","North Dakota!!Unemployment rate!!Margin of Error","South Dakota!!Total!!Estimate","South Dakota!!Total!!Margin of Error","South Dakota!!Labor Force Participation Rate!!Estimate","South Dakota!!Labor Force Participation Rate!!Margin of Error","South Dakota!!Employment/Population Ratio!!Estimate","South Dakota!!Employment/Population Ratio!!Margin of Error","South Dakota!!Unemployment rate!!Estimate","South Dakota!!Unemployment rate!!Margin of Error"
"        75 years and over","249,665","±1,556","6.7%","±0.7","6.6%","±0.7","1.2%","±0.9","419,467","±1,943","6.9%","±0.6","6.8%","±0.6","1.6%","±0.8","139,279","±1,398","9.5%","±1.1","9.4%","±1.1","1.1%","±1.1","56,316","±1,040","5.4%","±0.9","5.4%","±1.0","1.1%","±1.5","66,028","±1,056","10.0%","±1.5","9.9%","±1.5","1.1%","±1.8"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        White alone","2,212,075","±5,525","65.4%","±0.4","63.8%","±0.5","2.3%","±0.2","3,658,074","±6,267","67.1%","±0.3","65.3%","±0.3","2.7%","±0.2","1,243,826","±4,488","68.3%","±0.5","66.6%","±0.5","2.1%","±0.3","527,134","±2,722","68.6%","±0.8","65.8%","±0.9","2.3%","±0.5","602,826","±2,548","67.5%","±0.8","65.9%","±0.8","1.6%","±0.3"
"        Black or African American alone","89,944","±3,480","69.9%","±2.6","64.1%","±2.7","8.3%","±1.9","292,083","±6,546","71.2%","±1.5","67.1%","±1.7","5.7%","±1.1","69,396","±3,428","68.0%","±2.7","61.4%","±3.6","8.2%","±3.0","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        American Indian and Alaska Native alone","10,228","±2,170","69.5%","±7.9","67.6%","±7.9","2.8%","±2.5","40,857","±3,129","57.5%","±3.7","51.1%","±3.3","11.1%","±2.9","15,716","±2,181","71.1%","±4.3","65.4%","±4.9","7.7%","±3.9","23,905","±1,922","63.6%","±6.7","60.0%","±6.9","5.1%","±2.2","48,267","±2,014","52.2%","±2.8","44.0%","±3.5","15.3%","±4.8"
"        Asian alone","62,697","±2,987","70.0%","±3.6","68.0%","±3.7","2.8%","±1.2","229,668","±3,784","76.5%","±1.4","74.1%","±1.4","2.9%","±0.6","38,259","±2,205","73.7%","±3.5","72.0%","±3.5","2.1%","±1.4","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        Native Hawaiian and Other Pacific Islander alone","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        Some other race alone","54,262","±5,121","74.0%","±2.6","70.1%","±2.8","5.1%","±1.9","119,364","±6,915","77.5%","±2.1","75.1%","±2.2","3.0%","±0.9","71,281","±5,132","73.6%","±3.1","70.7%","±3.0","3.9%","±1.6","9,753","±2,247","75.0%","±7.5","64.5%","±9.7","0.6%","±1.0","11,104","±2,068","69.6%","±6.8","60.1%","±7.4","9.7%","±7.4"
"        Two or more races","138,731","±8,567","71.9%","±2.2","68.6%","±2.3","4.4%","±1.2","259,781","±9,356","73.4%","±1.4","70.2%","±1.4","4.2%","±0.9","119,287","±5,753","72.0%","±2.0","68.6%","±2.3","3.8%","±1.5","32,992","±3,546","76.6%","±3.5","66.7%","±4.8","8.8%","±4.3","37,342","±3,468","76.0%","±4.3","72.3%","±4.2","4.7%","±2.6"
"        Hispanic or Latino origin (of any race)","162,348","±1,957","72.6%","±2.0","69.3%","±2.1","4.6%","±1.1","255,783","±1,990","76.5%","±1.3","73.3%","±1.3","4.2%","±0.7","172,386","±1,577","74.1%","±1.8","70.5%","±2.0","4.2%","±1.1","26,246","±1,762","79.9%","±4.7","61.4%","±5.9","8.5%","±4.4","30,123","±908","74.9%","±4.1","67.2%","±5.1","8.2%","±3.8"
"        White alone, not Hispanic or Latino","2,170,460","±3,295","65.3%","±0.4","63.7%","±0.5","2.3%","±0.2","3,614,658","±4,813","67.0%","±0.3","65.2%","±0.3","2.6%","±0.2","1,213,462","±2,522","68.2%","±0.5","66.5%","±0.6","2.0%","±0.3","520,582","±2,034","68.5%","±0.8","65.9%","±0.9","2.2%","±0.5","596,697","±2,057","67.3%","±0.8","65.9%","±0.8","1.5%","±0.3"
"Population 20 to 64 years","1,794,013","±4,378","83.2%","±0.5","81.1%","±0.6","2.5%","±0.2","3,264,485","±5,021","85.1%","±0.3","82.7%","±0.3","2.7%","±0.2","1,106,920","±3,069","84.8%","±0.6","82.4%","±0.6","2.3%","±0.3","445,316","±3,438","85.9%","±1.0","81.6%","±1.1","2.4%","±0.6","503,838","±3,086","83.1%","±1.0","80.6%","±0.9","2.2%","±0.4"
"    SEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Male","910,588","±3,963","86.1%","±0.6","83.4%","±0.7","2.9%","±0.4","1,657,709","±3,933","87.9%","±0.4","85.1%","±0.4","3.0%","±0.2","562,387","±3,016","88.0%","±0.7","85.2%","±0.8","2.2%","±0.5","234,313","±3,111","88.9%","±1.2","83.1%","±1.4","2.2%","±0.6","260,185","±2,302","85.3%","±1.1","82.7%","±1.1","1.7%","±0.4"
"        Female","883,425","±2,822","80.3%","±0.6","78.6%","±0.7","2.0%","±0.3","1,606,776","±3,505","82.2%","±0.5","80.1%","±0.6","2.5%","±0.2","544,533","±2,592","81.5%","±0.9","79.5%","±0.9","2.3%","±0.4","211,003","±2,755","82.5%","±1.4","80.0%","±1.6","2.5%","±0.9","243,653","±2,052","80.8%","±1.4","78.5%","±1.4","2.7%","±0.6"
"            With own children under 18 years","324,698","±6,808","82.4%","±1.0","81.2%","±0.9","1.5%","±0.4","569,460","±8,501","83.5%","±0.8","81.8%","±0.8","2.0%","±0.4","210,025","±4,986","82.5%","±1.3","80.3%","±1.3","2.5%","±0.7","77,186","±3,581","83.6%","±2.3","81.6%","±2.6","2.0%","±1.2","91,071","±3,611","83.8%","±1.9","80.9%","±2.0","3.2%","±1.3"
"                With own children under 6 years only","69,630","±4,053","81.3%","±2.0","80.2%","±1.9","1.3%","±0.7","119,146","±5,634","81.5%","±1.7","79.0%","±1.8","3.1%","±1.1","41,169","±2,893","80.0%","±3.3","76.6%","±3.2","3.5%","±2.2","19,427","±2,150","80.5%","±4.4","79.2%","±4.6","0.1%","±0.1","20,354","±2,337","80.6%","±4.0","75.9%","±3.7","4.9%","±2.8"
"                With own children under 6 years and 6 to 17  years","69,958","±3,902","71.4%","±2.8","69.8%","±2.6","2.2%","±1.3","116,091","±4,950","75.1%","±2.2","73.7%","±2.2","1.7%","±0.7","45,107","±2,857","76.0%","±3.3","73.7%","±3.6","2.9%","±2.1","15,783","±1,941","76.4%","±6.3","74.0%","±6.7","3.0%","±2.6","18,350","±2,264","78.9%","±4.7","75.8%","±5.2","4.0%","±3.7"
"                With own children 6 to 17 years only","185,110","±6,172","87.1%","±1.3","85.8%","±1.3","1.4%","±0.4","334,223","±6,617","87.2%","±0.9","85.6%","±1.0","1.7%","±0.4","123,749","±4,059","85.8%","±1.6","83.9%","±1.7","2.1%","±0.9","41,976","±2,716","87.8%","±2.2","85.5%","±2.5","2.6%","±1.8","52,367","±3,265","86.7%","±2.3","84.6%","±2.9","2.4%","±1.5"
"    POVERTY STATUS IN THE PAST 12 MONTHS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Below poverty level","189,877","±8,587","53.8%","±2.1","47.5%","±2.4","11.8%","±2.0","274,223","±9,701","52.4%","±1.6","45.2%","±1.6","13.7%","±1.6","109,456","±7,544","55.3%","±2.9","48.1%","±2.9","13.0%","±2.9","41,954","±3,662","58.4%","±5.1","51.7%","±5.0","11.5%","±4.5","55,524","±4,356","51.4%","±3.9","44.7%","±3.5","13.1%","±3.2"
"        At or above the poverty level","1,570,880","±10,124","87.9%","±0.4","86.3%","±0.5","1.8%","±0.2","2,955,950","±11,415","88.8%","±0.3","86.8%","±0.3","2.1%","±0.1","981,938","±7,958","89.0%","±0.5","87.1%","±0.6","1.5%","±0.2","395,509","±4,571","89.7%","±0.8","85.9%","±1.1","1.7%","±0.4","436,717","±5,259","88.7%","±0.8","86.9%","±0.9","1.4%","±0.3"
"    DISABILITY STATUS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        With any disability","203,857","±7,207","57.5%","±2.0","53.6%","±2.0","6.8%","±1.5","320,825","±9,094","59.6%","±1.5","55.8%","±1.4","6.3%","±1.0","123,618","±6,138","62.5%","±2.4","58.8%","±2.3","5.6%","±1.6","47,239","±4,009","63.5%","±4.0","56.4%","±4.0","10.2%","±4.3","54,858","±3,522","59.5%","±4.0","56.7%","±3.9","4.3%","±1.6"
"EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 25 to 64 years","1,571,537","±4,479","83.6%","±0.5","81.7%","±0.5","2.2%","±0.2","2,915,647","±4,111","85.1%","±0.3","82.9%","±0.3","2.5%","±0.2","966,321","±3,040","85.0%","±0.6","82.9%","±0.6","1.9%","±0.3","386,051","±3,410","86.3%","±1.0","82.7%","±1.2","2.3%","±0.6","445,931","±3,175","83.1%","±1.0","81.1%","±1.0","1.9%","±0.4"
"        Less than high school graduate","107,355","±4,769","68.1%","±2.6","64.4%","±2.5","5.3%","±1.5","161,145","±7,542","69.2%","±1.9","65.7%","±1.9","5.2%","±1.1","72,393","±4,072","71.5%","±3.0","66.9%","±3.5","6.5%","±2.5","17,610","±2,262","69.3%","±5.6","63.8%","±6.2","7.9%","±4.5","28,166","±2,911","64.9%","±4.6","61.2%","±4.9","5.7%","±3.0"
"        High school graduate (includes equivalency)","421,744","±10,196","76.2%","±1.2","73.5%","±1.2","3.5%","±0.6","596,547","±11,249","77.1%","±0.8","74.0%","±0.8","4.0%","±0.5","209,370","±7,491","79.1%","±1.4","76.3%","±1.5","3.2%","±0.8","82,747","±4,601","79.9%","±2.1","78.0%","±2.2","1.8%","±0.9","113,279","±4,315","78.7%","±1.9","76.1%","±2.0","2.4%","±0.8"
"        Some college or associate's degree","512,714","±9,585","85.8%","±0.8","84.0%","±0.9","1.9%","±0.4","908,204","±11,809","85.4%","±0.5","83.3%","±0.5","2.4%","±0.3","317,444","±7,997","85.8%","±0.9","83.5%","±1.0","1.7%","±0.4","144,821","±5,378","87.7%","±1.7","82.9%","±2.0","2.7%","±1.2","149,377","±4,769","84.1%","±1.7","81.6%","±1.8","2.2%","±0.7"
"        Bachelor's degree or higher","529,724","±10,400","90.6%","±0.6","89.5%","±0.7","1.1%","±0.3","1,249,751","±13,271","90.7%","±0.4","89.1%","±0.4","1.7%","±0.2","367,114","±8,217","90.5%","±0.7","89.4%","±0.7","0.7%","±0.2","140,873","±6,102","90.7%","±1.2","87.5%","±1.5","1.7%","±0.8","155,109","±5,165","88.7%","±1.4","87.8%","±1.4","0.8%","±0.3"
