"Label (Grouping)","Iowa!!Total!!Estimate","Iowa!!Total!!Margin of Error","Iowa!!Percent!!Estimate","Iowa!!Percent!!Margin of Error","Iowa!!Male!!Estimate","Iowa!!Male!!Margin of Error","Iowa!!Percent Male!!Estimate","Iowa!!Percent Male!!Margin of Error","Iowa!!Female!!Estimate","Iowa!!Female!!Margin of Error","Iowa!!Percent Female!!Estimate","Iowa!!Percent Female!!Margin of Error","Minnesota!!Total!!Estimate","Minnesota!!Total!!Margin of Error","Minnesota!!Percent!!Estimate","Minnesota!!Percent!!Margin of Error","Minnesota!!Male!!Estimate","Minnesota!!Male!!Margin of Error","Minnesota!!Percent Male!!Estimate","Minnesota!!Percent Male!!Margin of Error","Minnesota!!Female!!Estimate","Minnesota!!Female!!Margin of Error","Minnesota!!Percent Female!!Estimate","Minnesota!!Percent Female!!Margin of Error","Nebraska!!Total!!Estimate","Nebraska!!Total!!Margin of Error","Nebraska!!Percent!!Estimate","Nebraska!!Percent!!Margin of Error","Nebraska!!Male!!Estimate","Nebraska!!Male!!Margin of Error","Nebraska!!Percent Male!!Estimate","Nebraska!!Percent Male!!Margin of Error","Nebraska!!Female!!Estimate","Nebraska!!Female!!Margin of Error","Nebraska!!Percent Female!!Estimate","Nebraska!!Percent Female!!Margin of Error","North Dakota!!Total!!Estimate","North Dakota!!Total!!Margin of Error","North Dakota!!Percent!!Estimate","North Dakota!!Percent!!Margin of Error","North Dakota!!Male!!Estimate","North Dakota!!Male!!Margin of Error","North Dakota!!Percent Male!!Estimate","North Dakota!!Percent Male!!Margin of Error","North Dakota!!Female!!Estimate","North Dakota!!Female!!Margin of Error","North Dakota!!Percent Female!!Estimate","North Dakota!!Percent Female!!Margin of Error","South Dakota!!Total!!Estimate","South Dakota!!Total!!Margin of Error","South Dakota!!Percent!!Estimate","South Dakota!!Percent!!Margin of Error","South Dakota!!Male!!Estimate","South Dakota!!Male!!Margin of Error","South Dakota!!Percent Male!!Estimate","South Dakota!!Percent Male!!Margin of Error","South Dakota!!Female!!Estimate","South Dakota!!Female!!Margin of Error","South Dakota!!Percent Female!!Estimate","South Dakota!!Percent Female!!Margin of Error"
"        Associate's degree","264,962","±7,143","12.2%","±0.3","117,824","±4,992","11.0%","±0.5","147,138","±5,540","13.4%","±0.5","467,807","±9,971","11.9%","±0.3","226,431","±7,321","11.6%","±0.4","241,376","±6,340","12.2%","±0.3","148,822","±5,178","11.4%","±0.4","71,815","±4,094","11.1%","±0.6","77,007","±3,920","11.7%","±0.6","71,744","±4,053","13.8%","±0.8","37,484","±2,756","14.1%","±1.0","34,260","±2,909","13.5%","±1.2","74,196","±3,614","12.1%","±0.6","34,270","±2,498","11.1%","±0.8","39,926","±3,331","13.0%","±1.1"
"        Bachelor's degree","452,714","±10,331","20.9%","±0.5","211,114","±6,452","19.8%","±0.6","241,600","±6,648","22.0%","±0.6","1,022,673","±12,926","25.9%","±0.3","489,563","±9,169","25.0%","±0.5","533,110","±8,599","26.9%","±0.4","298,782","±8,515","22.9%","±0.6","140,686","±5,634","21.7%","±0.9","158,096","±5,356","23.9%","±0.8","121,205","±6,019","23.3%","±1.1","55,373","±3,903","20.8%","±1.4","65,832","±3,807","25.9%","±1.4","141,083","±4,708","22.9%","±0.8","66,029","±3,171","21.4%","±1.0","75,054","±3,518","24.4%","±1.1"
"        Graduate or professional degree","230,786","±6,801","10.7%","±0.3","102,744","±3,951","9.6%","±0.4","128,042","±5,005","11.7%","±0.5","553,533","±10,959","14.0%","±0.3","250,736","±6,877","12.8%","±0.4","302,797","±6,878","15.3%","±0.3","162,498","±6,148","12.4%","±0.5","73,669","±3,521","11.4%","±0.5","88,829","±4,157","13.5%","±0.6","53,269","±4,328","10.2%","±0.8","24,655","±3,012","9.3%","±1.1","28,614","±2,648","11.3%","±1.1","63,884","±4,383","10.4%","±0.7","30,192","±2,747","9.8%","±0.9","33,692","±2,934","11.0%","±1.0"
"        High school graduate or higher","2,020,937","±6,768","93.3%","±0.2","988,825","±5,902","92.6%","±0.4","1,032,112","±4,648","94.0%","±0.3","3,717,752","±8,987","94.3%","±0.2","1,837,096","±5,825","93.9%","±0.3","1,880,656","±5,864","94.7%","±0.3","1,211,176","±5,341","92.7%","±0.3","594,714","±3,662","91.9%","±0.5","616,462","±4,008","93.4%","±0.5","491,589","±3,706","94.5%","±0.5","249,751","±2,964","93.8%","±0.8","241,838","±2,672","95.3%","±0.6","575,227","±4,539","93.5%","±0.6","287,080","±2,988","93.2%","±0.8","288,147","±3,108","93.7%","±0.8"
"        Bachelor's degree or higher","683,500","±12,682","31.5%","±0.6","313,858","±7,618","29.4%","±0.7","369,642","±8,018","33.7%","±0.7","1,576,206","±14,533","40.0%","±0.4","740,299","±10,204","37.8%","±0.5","835,907","±9,265","42.1%","±0.5","461,280","±9,893","35.3%","±0.7","214,355","±6,217","33.1%","±1.0","246,925","±6,288","37.4%","±0.9","174,474","±6,511","33.6%","±1.2","80,028","±4,188","30.1%","±1.5","94,446","±4,132","37.2%","±1.6","204,967","±5,363","33.3%","±0.9","96,221","±3,328","31.2%","±1.1","108,746","±3,699","35.4%","±1.2"
"    Population 25 to 34 years","398,626","±4,804","(X)","(X)","204,077","±3,743","(X)","(X)","194,549","±3,040","(X)","(X)","739,675","±4,338","(X)","(X)","376,509","±2,905","(X)","(X)","363,166","±3,032","(X)","(X)","254,207","±3,167","(X)","(X)","130,599","±2,256","(X)","(X)","123,608","±1,976","(X)","(X)","114,831","±3,034","(X)","(X)","61,898","±2,528","(X)","(X)","52,933","±2,334","(X)","(X)","114,987","±3,159","(X)","(X)","58,474","±2,121","(X)","(X)","56,513","±2,196","(X)","(X)"
"        High school graduate or higher","375,916","±4,363","94.3%","±0.6","191,688","±3,441","93.9%","±0.9","184,228","±3,023","94.7%","±0.8","702,945","±5,348","95.0%","±0.4","356,608","±3,452","94.7%","±0.6","346,337","±3,509","95.4%","±0.5","239,244","±3,270","94.1%","±0.8","123,038","±2,377","94.2%","±1.0","116,206","±2,241","94.0%","±1.2","110,326","±3,110","96.1%","±1.1","58,980","±2,688","95.3%","±1.7","51,346","±2,278","97.0%","±1.3","106,712","±3,239","92.8%","±1.3","54,299","±2,011","92.9%","±1.7","52,413","±2,151","92.7%","±2.0"
"        Bachelor's degree or higher","149,517","±4,947","37.5%","±1.3","66,822","±3,313","32.7%","±1.6","82,695","±3,690","42.5%","±1.9","345,285","±7,727","46.7%","±1.0","154,098","±4,856","40.9%","±1.2","191,187","±5,126","52.6%","±1.4","101,654","±4,412","40.0%","±1.8","44,005","±2,720","33.7%","±2.2","57,649","±2,818","46.6%","±2.3","42,609","±3,518","37.1%","±2.9","18,544","±2,159","30.0%","±3.5","24,065","±2,459","45.5%","±4.3","41,482","±3,304","36.1%","±2.6","17,171","±1,762","29.4%","±2.7","24,311","±2,277","43.0%","±3.7"
"    Population 35 to 44 years","410,413","±4,437","(X)","(X)","206,890","±2,692","(X)","(X)","203,523","±3,025","(X)","(X)","784,774","±3,522","(X)","(X)","397,700","±2,199","(X)","(X)","387,074","±2,611","(X)","(X)","262,121","±2,805","(X)","(X)","131,823","±1,853","(X)","(X)","130,298","±2,079","(X)","(X)","106,705","±3,157","(X)","(X)","56,188","±2,215","(X)","(X)","50,517","±2,038","(X)","(X)","118,255","±2,340","(X)","(X)","60,934","±1,660","(X)","(X)","57,321","±1,858","(X)","(X)"
"        High school graduate or higher","379,901","±4,711","92.6%","±0.7","189,706","±2,747","91.7%","±0.9","190,195","±3,367","93.5%","±1.0","740,101","±4,474","94.3%","±0.5","372,483","±3,301","93.7%","±0.6","367,618","±3,221","95.0%","±0.6","240,956","±3,445","91.9%","±0.9","119,283","±2,395","90.5%","±1.3","121,673","±2,260","93.4%","±1.2","101,250","±3,130","94.9%","±1.2","52,896","±2,189","94.1%","±1.7","48,354","±1,969","95.7%","±1.7","111,393","±2,386","94.2%","±1.3","57,566","±1,602","94.5%","±1.3","53,827","±1,957","93.9%","±2.1"
"        Bachelor's degree or higher","151,467","±5,380","36.9%","±1.3","66,915","±3,706","32.3%","±1.7","84,552","±3,800","41.5%","±1.8","355,213","±8,865","45.3%","±1.1","160,834","±5,525","40.4%","±1.4","194,379","±5,724","50.2%","±1.5","105,922","±4,044","40.4%","±1.5","48,256","±2,741","36.6%","±2.0","57,666","±2,644","44.3%","±2.0","43,784","±3,178","41.0%","±2.8","20,180","±2,177","35.9%","±3.6","23,604","±1,858","46.7%","±3.8","42,991","±2,866","36.4%","±2.5","18,657","±1,608","30.6%","±2.5","24,334","±2,305","42.5%","±4.1"
"    Population 45 to 64 years","762,498","±3,970","(X)","(X)","383,128","±2,693","(X)","(X)","379,370","±3,034","(X)","(X)","1,391,198","±4,468","(X)","(X)","705,408","±3,250","(X)","(X)","685,790","±2,749","(X)","(X)","449,993","±3,570","(X)","(X)","227,560","±2,371","(X)","(X)","222,433","±2,402","(X)","(X)","164,515","±2,969","(X)","(X)","84,843","±1,721","(X)","(X)","79,672","±1,924","(X)","(X)","212,689","±2,548","(X)","(X)","108,227","±1,705","(X)","(X)","104,462","±1,779","(X)","(X)"
"        High school graduate or higher","708,365","±4,292","92.9%","±0.5","352,521","±3,132","92.0%","±0.7","355,844","±3,446","93.8%","±0.6","1,311,456","±5,165","94.3%","±0.3","660,961","±3,739","93.7%","±0.5","650,495","±3,077","94.9%","±0.4","413,728","±4,068","91.9%","±0.7","206,825","±2,595","90.9%","±1.0","206,903","±2,541","93.0%","±0.9","156,865","±2,843","95.3%","±0.9","79,976","±1,585","94.3%","±1.5","76,889","±2,037","96.5%","±0.9","199,660","±2,645","93.9%","±0.9","101,138","±1,901","93.4%","±1.2","98,522","±1,834","94.3%","±1.3"
"        Bachelor's degree or higher","228,740","±5,676","30.0%","±0.7","105,362","±3,964","27.5%","±1.1","123,378","±4,141","32.5%","±1.1","549,253","±8,627","39.5%","±0.6","262,824","±6,783","37.3%","±0.9","286,429","±4,923","41.8%","±0.7","159,538","±5,493","35.5%","±1.2","74,569","±3,837","32.8%","±1.7","84,969","±3,449","38.2%","±1.5","54,480","±3,767","33.1%","±2.2","25,017","±2,319","29.5%","±2.8","29,463","±2,298","37.0%","±2.7","70,636","±3,677","33.2%","±1.7","34,780","±2,380","32.1%","±2.2","35,856","±2,524","34.3%","±2.4"
"    Population 65 years and over","594,888","±2,070","(X)","(X)","273,986","±1,404","(X)","(X)","320,902","±1,332","(X)","(X)","1,025,928","±2,524","(X)","(X)","476,684","±1,928","(X)","(X)","549,244","±1,419","(X)","(X)","340,925","±1,994","(X)","(X)","157,100","±1,324","(X)","(X)","183,825","±1,209","(X)","(X)","133,955","±1,419","(X)","(X)","63,264","±874","(X)","(X)","70,691","±972","(X)","(X)","169,586","±1,331","(X)","(X)","80,278","±879","(X)","(X)","89,308","±989","(X)","(X)"
"        High school graduate or higher","556,755","±3,479","93.6%","±0.5","254,910","±2,232","93.0%","±0.7","301,845","±2,145","94.1%","±0.5","963,250","±4,093","93.9%","±0.4","447,044","±2,352","93.8%","±0.5","516,206","±2,798","94.0%","±0.5","317,248","±2,912","93.1%","±0.7","145,568","±1,726","92.7%","±1.0","171,680","±1,913","93.4%","±0.8","123,148","±1,832","91.9%","±1.1","57,899","±1,089","91.5%","±1.5","65,249","±1,320","92.3%","±1.3","157,462","±1,826","92.9%","±0.9","74,077","±1,479","92.3%","±1.5","83,385","±1,121","93.4%","±1.1"
"        Bachelor's degree or higher","153,776","±6,052","25.8%","±1.0","74,759","±3,417","27.3%","±1.2","79,017","±3,660","24.6%","±1.1","326,455","±6,346","31.8%","±0.6","162,543","±3,833","34.1%","±0.8","163,912","±4,131","29.8%","±0.8","94,166","±4,442","27.6%","±1.3","47,525","±2,567","30.3%","±1.7","46,641","±2,995","25.4%","±1.6","33,601","±2,131","25.1%","±1.6","16,287","±1,415","25.7%","±2.3","17,314","±1,390","24.5%","±2.0","49,858","±2,803","29.4%","±1.6","25,613","±1,977","31.9%","±2.3","24,245","±1,860","27.1%","±2.1"
"RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    White alone","1,891,436","±4,566","(X)","(X)","926,284","±2,738","(X)","(X)","965,152","±2,937","(X)","(X)","3,197,581","±5,370","(X)","(X)","1,583,587","±3,021","(X)","(X)","1,613,994","±3,288","(X)","(X)","1,065,140","±3,749","(X)","(X)","526,160","±2,072","(X)","(X)","538,980","±2,506","(X)","(X)","444,302","±2,712","(X)","(X)","227,885","±1,946","(X)","(X)","216,417","±1,560","(X)","(X)","520,660","±2,367","(X)","(X)","261,058","±1,339","(X)","(X)","259,602","±1,703","(X)","(X)"
"        High school graduate or higher","1,802,445","±5,607","95.3%","±0.2","876,473","±3,963","94.6%","±0.3","925,972","±3,314","95.9%","±0.3","3,088,610","±7,496","96.6%","±0.2","1,520,667","±5,047","96.0%","±0.2","1,567,943","±4,228","97.1%","±0.2","1,023,220","±4,165","96.1%","±0.3","502,895","±2,368","95.6%","±0.4","520,325","±3,136","96.5%","±0.4","424,528","±3,007","95.5%","±0.5","216,130","±2,040","94.8%","±0.7","208,398","±1,968","96.3%","±0.6","495,932","±3,435","95.3%","±0.5","247,059","±2,221","94.6%","±0.7","248,873","±2,215","95.9%","±0.7"
"        Bachelor's degree or higher","611,347","±11,955","32.3%","±0.6","275,791","±7,110","29.8%","±0.7","335,556","±7,541","34.8%","±0.8","1,323,528","±13,019","41.4%","±0.4","618,717","±9,114","39.1%","±0.6","704,811","±8,412","43.7%","±0.5","405,341","±9,072","38.1%","±0.8","187,505","±5,746","35.6%","±1.1","217,836","±5,599","40.4%","±1.0","152,632","±5,540","34.4%","±1.3","69,569","±3,707","30.5%","±1.6","83,063","±3,555","38.4%","±1.6","185,181","±4,779","35.6%","±0.9","86,589","±3,238","33.2%","±1.3","98,592","±3,448","38.0%","±1.3"
"    White alone, not Hispanic or Latino","1,862,036","±2,862","(X)","(X)","913,079","±1,660","(X)","(X)","948,957","±1,784","(X)","(X)","3,166,201","±3,855","(X)","(X)","1,568,235","±2,348","(X)","(X)","1,597,966","±2,341","(X)","(X)","1,043,444","±2,372","(X)","(X)","515,488","±1,158","(X)","(X)","527,956","±1,762","(X)","(X)","439,716","±2,088","(X)","(X)","224,644","±1,491","(X)","(X)","215,072","±1,231","(X)","(X)","516,124","±1,954","(X)","(X)","258,895","±1,229","(X)","(X)","257,229","±1,349","(X)","(X)"
"        High school graduate or higher","1,779,642","±4,838","95.6%","±0.2","866,501","±3,513","94.9%","±0.3","913,141","±2,841","96.2%","±0.3","3,061,372","±6,641","96.7%","±0.1","1,506,798","±4,560","96.1%","±0.2","1,554,574","±3,804","97.3%","±0.2","1,005,987","±3,820","96.4%","±0.2","495,002","±2,065","96.0%","±0.3","510,985","±2,817","96.8%","±0.4","420,647","±2,633","95.7%","±0.5","213,545","±1,797","95.1%","±0.6","207,102","±1,737","96.3%","±0.6","492,686","±3,305","95.5%","±0.5","245,591","±2,161","94.9%","±0.7","247,095","±2,062","96.1%","±0.7"
"        Bachelor's degree or higher","604,912","±11,897","32.5%","±0.6","273,271","±7,141","29.9%","±0.8","331,641","±7,552","34.9%","±0.8","1,313,353","±12,731","41.5%","±0.4","613,444","±8,961","39.1%","±0.6","699,909","±8,368","43.8%","±0.5","401,015","±8,939","38.4%","±0.8","185,068","±5,704","35.9%","±1.1","215,947","±5,446","40.9%","±1.0","151,991","±5,467","34.6%","±1.2","69,255","±3,728","30.8%","±1.7","82,736","±3,482","38.5%","±1.6","183,950","±4,695","35.6%","±0.9","86,171","±3,148","33.3%","±1.2","97,779","±3,427","38.0%","±1.3"
"    Black alone","68,028","±3,211","(X)","(X)","37,899","±2,244","(X)","(X)","30,129","±2,122","(X)","(X)","230,717","±5,236","(X)","(X)","117,641","±3,392","(X)","(X)","113,076","±2,740","(X)","(X)","54,435","±2,418","(X)","(X)","27,871","±1,594","(X)","(X)","26,564","±1,696","(X)","(X)","14,936","±2,506","(X)","(X)","7,234","±1,557","(X)","(X)","7,702","±1,884","(X)","(X)","11,195","±1,631","(X)","(X)","6,553","±1,329","(X)","(X)","4,642","±939","(X)","(X)"
"        High school graduate or higher","56,975","±3,120","83.8%","±3.1","32,387","±2,211","85.5%","±3.5","24,588","±2,114","81.6%","±4.8","199,961","±5,927","86.7%","±1.7","104,320","±3,527","88.7%","±1.8","95,641","±3,468","84.6%","±2.3","45,966","±2,450","84.4%","±3.5","24,611","±1,575","88.3%","±3.1","21,355","±1,770","80.4%","±5.7","13,220","±2,470","88.5%","±6.2","6,264","±1,461","86.6%","±11.9","6,956","±1,884","90.3%","±6.3","9,186","±1,855","82.1%","±8.6","6,090","±1,269","92.9%","±6.5","3,096","±1,209","66.7%","±18.2"
"        Bachelor's degree or higher","13,842","±1,991","20.3%","±2.8","8,994","±1,738","23.7%","±4.3","4,848","±982","16.1%","±3.1","66,031","±5,422","28.6%","±2.3","33,736","±3,546","28.7%","±3.0","32,295","±3,424","28.6%","±3.0","9,347","±1,638","17.2%","±3.2","5,000","±1,327","17.9%","±4.8","4,347","±1,028","16.4%","±4.1","3,788","±1,712","25.4%","±10.5","2,290","±1,053","31.7%","±13.7","1,498","±1,195","19.4%","±15.0","2,525","±1,184","22.6%","±9.3","1,107","±613","16.9%","±8.6","1,418","±1,045","30.5%","±20.0"
"    American Indian or Alaska Native alone","8,347","±1,699","(X)","(X)","4,194","±1,069","(X)","(X)","4,153","±1,110","(X)","(X)","32,558","±2,658","(X)","(X)","15,872","±1,850","(X)","(X)","16,686","±1,373","(X)","(X)","12,082","±1,582","(X)","(X)","5,036","±993","(X)","(X)","7,046","±1,266","(X)","(X)","19,391","±1,845","(X)","(X)","10,525","±1,289","(X)","(X)","8,866","±1,247","(X)","(X)","36,428","±1,752","(X)","(X)","18,125","±1,061","(X)","(X)","18,303","±1,366","(X)","(X)"
"        High school graduate or higher","5,583","±1,222","66.9%","±8.5","2,468","±878","58.8%","±13.0","3,115","±939","75.0%","±11.4","26,582","±2,527","81.6%","±3.2","12,487","±1,749","78.7%","±4.6","14,095","±1,318","84.5%","±3.3","9,214","±1,284","76.3%","±5.9","3,180","±721","63.1%","±9.6","6,034","±1,166","85.6%","±5.8","16,839","±1,832","86.8%","±3.2","8,953","±1,228","85.1%","±4.4","7,886","±1,320","88.9%","±4.6","30,823","±1,823","84.6%","±2.8","15,311","±972","84.5%","±3.6","15,512","±1,383","84.8%","±4.0"
"        Bachelor's degree or higher","997","±618","11.9%","±6.8","479","±389","11.4%","±8.2","518","±390","12.5%","±9.0","4,323","±793","13.3%","±2.6","1,596","±432","10.1%","±2.9","2,727","±676","16.3%","±3.8","1,803","±613","14.9%","±4.6","390","±235","7.7%","±4.3","1,413","±526","20.1%","±6.7","4,072","±1,302","21.0%","±6.0","2,143","±1,065","20.4%","±10.1","1,929","±596","21.8%","±6.8","4,149","±754","11.4%","±2.0","2,112","±654","11.7%","±3.5","2,037","±570","11.1%","±2.9"
"    Asian alone","51,662","±2,563","(X)","(X)","25,078","±1,798","(X)","(X)","26,584","±1,492","(X)","(X)","190,812","±3,088","(X)","(X)","91,675","±2,109","(X)","(X)","99,137","±1,971","(X)","(X)","31,484","±1,925","(X)","(X)","14,788","±1,235","(X)","(X)","16,696","±1,140","(X)","(X)","8,696","±1,167","(X)","(X)","3,654","±760","(X)","(X)","5,042","±977","(X)","(X)","9,134","±1,413","(X)","(X)","3,845","±795","(X)","(X)","5,289","±1,073","(X)","(X)"
