"Label (Grouping)","Iowa!!Total!!Estimate","Iowa!!Total!!Margin of Error","Iowa!!With a disability!!Estimate","Iowa!!With a disability!!Margin of Error","Iowa!!Percent with a disability!!Estimate","Iowa!!Percent with a disability!!Margin of Error","Minnesota!!Total!!Estimate","Minnesota!!Total!!Margin of Error","Minnesota!!With a disability!!Estimate","Minnesota!!With a disability!!Margin of Error","Minnesota!!Percent with a disability!!Estimate","Minnesota!!Percent with a disability!!Margin of Error","Nebraska!!Total!!Estimate","Nebraska!!Total!!Margin of Error","Nebraska!!With a disability!!Estimate","Nebraska!!With a disability!!Margin of Error","Nebraska!!Percent with a disability!!Estimate","Nebraska!!Percent with a disability!!Margin of Error","North Dakota!!Total!!Estimate","North Dakota!!Total!!Margin of Error","North Dakota!!With a disability!!Estimate","North Dakota!!With a disability!!Margin of Error","North Dakota!!Percent with a disability!!Estimate","North Dakota!!Percent with a disability!!Margin of Error","South Dakota!!Total!!Estimate","South Dakota!!Total!!Margin of Error","South Dakota!!With a disability!!Estimate","South Dakota!!With a disability!!Margin of Error","South Dakota!!Percent with a disability!!Estimate","South Dakota!!Percent with a disability!!Margin of Error"
"                Population 18 to 34 years","707,370","±4,026","6,040","±1,436","0.9%","±0.2","1,232,285","±3,849","12,432","±1,669","1.0%","±0.1","438,445","±3,384","5,063","±1,185","1.2%","±0.3","190,267","±2,997","2,039","±845","1.1%","±0.4","193,893","±2,682","2,025","±758","1.0%","±0.4"
"                Population 35 to 64 years","1,161,573","±4,609","34,866","±2,620","3.0%","±0.2","2,162,440","±4,064","51,335","±3,744","2.4%","±0.2","705,490","±3,837","20,175","±2,033","2.9%","±0.3","266,769","±3,134","9,928","±1,796","3.7%","±0.7","325,918","±2,653","9,250","±1,459","2.8%","±0.4"
"            Population 65 years and over","568,486","±2,109","72,548","±2,910","12.8%","±0.5","989,834","±2,632","132,269","±5,004","13.4%","±0.5","329,827","±2,039","46,371","±2,529","14.1%","±0.8","126,926","±1,439","17,858","±1,749","14.1%","±1.3","162,040","±1,328","22,738","±1,759","14.0%","±1.1"
"                Population 65 to 74 years","340,124","±2,040","28,610","±2,379","8.4%","±0.7","600,577","±2,575","47,945","±3,018","8.0%","±0.5","198,999","±1,841","17,750","±1,839","8.9%","±0.9","76,162","±1,044","7,170","±1,017","9.4%","±1.3","102,669","±1,195","8,735","±1,353","8.5%","±1.3"
"                Population 75 years and over","228,362","±1,658","43,938","±2,108","19.2%","±0.9","389,257","±2,157","84,324","±3,522","21.7%","±0.9","130,828","±1,468","28,621","±2,231","21.9%","±1.7","50,764","±1,092","10,688","±1,430","21.1%","±2.7","59,371","±1,102","14,003","±1,350","23.6%","±2.3"
"        With a vision difficulty","(X)","(X)","69,083","±4,260","2.2%","±0.1","(X)","(X)","91,917","±4,682","1.6%","±0.1","(X)","(X)","41,828","±3,146","2.1%","±0.2","(X)","(X)","16,058","±2,224","2.1%","±0.3","(X)","(X)","20,339","±2,173","2.3%","±0.2"
"            Population under 18 years","724,619","±2,500","5,862","±1,406","0.8%","±0.2","1,293,464","±2,048","7,199","±1,290","0.6%","±0.1","477,969","±1,516","2,577","±845","0.5%","±0.2","179,576","±2,370","1,336","±630","0.7%","±0.4","218,413","±1,609","1,135","±664","0.5%","±0.3"
"                Population under 5 years","182,063","±2,132","282","±202","0.2%","±0.1","326,995","±2,524","1,153","±389","0.4%","±0.1","120,499","±1,892","85","±125","0.1%","±0.1","46,488","±1,848","194","±148","0.4%","±0.3","54,886","±1,016","14","±27","0.0%","±0.1"
"                Population 5 to 17 years","542,556","±3,244","5,580","±1,381","1.0%","±0.3","966,469","±2,774","6,046","±1,325","0.6%","±0.1","357,470","±2,389","2,492","±876","0.7%","±0.2","133,088","±2,363","1,142","±615","0.9%","±0.5","163,527","±1,555","1,121","±664","0.7%","±0.4"
"            Population 18 to 64 years","1,868,943","±3,104","35,404","±3,166","1.9%","±0.2","3,394,725","±3,643","45,202","±3,721","1.3%","±0.1","1,143,935","±2,642","24,948","±2,414","2.2%","±0.2","457,036","±2,917","8,638","±1,741","1.9%","±0.4","519,811","±2,166","10,338","±1,743","2.0%","±0.3"
"                Population 18 to 34 years","707,370","±4,026","10,123","±1,794","1.4%","±0.3","1,232,285","±3,849","11,798","±2,082","1.0%","±0.2","438,445","±3,384","6,776","±1,537","1.5%","±0.4","190,267","±2,997","2,661","±1,179","1.4%","±0.6","193,893","±2,682","2,824","±1,004","1.5%","±0.5"
"                Population 35 to 64 years","1,161,573","±4,609","25,281","±2,637","2.2%","±0.2","2,162,440","±4,064","33,404","±3,117","1.5%","±0.1","705,490","±3,837","18,172","±2,206","2.6%","±0.3","266,769","±3,134","5,977","±1,455","2.2%","±0.5","325,918","±2,653","7,514","±1,337","2.3%","±0.4"
"            Population 65 years and over","568,486","±2,109","27,817","±2,280","4.9%","±0.4","989,834","±2,632","39,516","±2,579","4.0%","±0.3","329,827","±2,039","14,303","±1,754","4.3%","±0.5","126,926","±1,439","6,084","±1,083","4.8%","±0.8","162,040","±1,328","8,866","±1,364","5.5%","±0.8"
"                Population 65 to 74 years","340,124","±2,040","11,909","±1,716","3.5%","±0.5","600,577","±2,575","14,238","±1,642","2.4%","±0.3","198,999","±1,841","6,218","±1,259","3.1%","±0.6","76,162","±1,044","2,159","±612","2.8%","±0.8","102,669","±1,195","3,650","±893","3.6%","±0.9"
"                Population 75 years and over","228,362","±1,658","15,908","±1,691","7.0%","±0.7","389,257","±2,157","25,278","±2,287","6.5%","±0.6","130,828","±1,468","8,085","±1,253","6.2%","±0.9","50,764","±1,092","3,925","±952","7.7%","±1.8","59,371","±1,102","5,216","±997","8.8%","±1.6"
"        With a cognitive difficulty","(X)","(X)","164,328","±7,323","5.5%","±0.2","(X)","(X)","295,319","±9,945","5.5%","±0.2","(X)","(X)","94,707","±5,805","5.2%","±0.3","(X)","(X)","38,343","±3,917","5.3%","±0.5","(X)","(X)","43,630","±3,012","5.2%","±0.4"
"            Population under 18 years","542,556","±3,244","25,120","±2,470","4.6%","±0.5","966,469","±2,774","43,867","±3,711","4.5%","±0.4","357,470","±2,389","13,488","±2,483","3.8%","±0.7","133,088","±2,363","6,767","±1,418","5.1%","±1.1","163,527","±1,555","6,891","±1,369","4.2%","±0.8"
"            Population 18 to 64 years","1,868,943","±3,104","107,570","±5,912","5.8%","±0.3","3,394,725","±3,643","187,990","±8,281","5.5%","±0.2","1,143,935","±2,642","62,207","±4,369","5.4%","±0.4","457,036","±2,917","24,739","±2,965","5.4%","±0.7","519,811","±2,166","26,706","±2,522","5.1%","±0.5"
"                Population 18 to 34 years","707,370","±4,026","46,400","±3,284","6.6%","±0.5","1,232,285","±3,849","81,261","±5,751","6.6%","±0.5","438,445","±3,384","30,894","±3,221","7.0%","±0.7","190,267","±2,997","11,834","±1,983","6.2%","±1.0","193,893","±2,682","11,497","±1,651","5.9%","±0.9"
"                Population 35 to 64 years","1,161,573","±4,609","61,170","±4,340","5.3%","±0.4","2,162,440","±4,064","106,729","±5,912","4.9%","±0.3","705,490","±3,837","31,313","±3,266","4.4%","±0.5","266,769","±3,134","12,905","±1,945","4.8%","±0.7","325,918","±2,653","15,209","±2,144","4.7%","±0.7"
"            Population 65 years and over","568,486","±2,109","31,638","±2,162","5.6%","±0.4","989,834","±2,632","63,462","±3,612","6.4%","±0.4","329,827","±2,039","19,012","±2,194","5.8%","±0.7","126,926","±1,439","6,837","±1,171","5.4%","±0.9","162,040","±1,328","10,033","±1,415","6.2%","±0.9"
"                Population 65 to 74 years","340,124","±2,040","13,187","±1,300","3.9%","±0.4","600,577","±2,575","25,323","±1,972","4.2%","±0.3","198,999","±1,841","8,748","±1,517","4.4%","±0.8","76,162","±1,044","2,876","±818","3.8%","±1.1","102,669","±1,195","3,679","±813","3.6%","±0.8"
"                Population 75 years and over","228,362","±1,658","18,451","±1,950","8.1%","±0.8","389,257","±2,157","38,139","±2,917","9.8%","±0.7","130,828","±1,468","10,264","±1,533","7.8%","±1.2","50,764","±1,092","3,961","±1,011","7.8%","±2.0","59,371","±1,102","6,354","±1,048","10.7%","±1.8"
"        With an ambulatory difficulty","(X)","(X)","175,062","±6,957","5.9%","±0.2","(X)","(X)","268,638","±9,022","5.0%","±0.2","(X)","(X)","101,544","±5,109","5.5%","±0.3","(X)","(X)","38,460","±2,894","5.4%","±0.4","(X)","(X)","50,684","±3,264","6.0%","±0.4"
"            Population under 18 years","542,556","±3,244","3,248","±1,117","0.6%","±0.2","966,469","±2,774","5,245","±1,029","0.5%","±0.1","357,470","±2,389","1,226","±456","0.3%","±0.1","133,088","±2,363","885","±647","0.7%","±0.5","163,527","±1,555","1,050","±613","0.6%","±0.4"
"            Population 18 to 64 years","1,868,943","±3,104","72,083","±4,424","3.9%","±0.2","3,394,725","±3,643","106,623","±5,626","3.1%","±0.2","1,143,935","±2,642","42,131","±3,517","3.7%","±0.3","457,036","±2,917","14,664","±1,897","3.2%","±0.4","519,811","±2,166","21,334","±2,305","4.1%","±0.4"
"                Population 18 to 34 years","707,370","±4,026","6,682","±1,113","0.9%","±0.2","1,232,285","±3,849","13,478","±2,198","1.1%","±0.2","438,445","±3,384","4,830","±1,218","1.1%","±0.3","190,267","±2,997","1,590","±644","0.8%","±0.3","193,893","±2,682","2,352","±935","1.2%","±0.5"
"                Population 35 to 64 years","1,161,573","±4,609","65,401","±3,997","5.6%","±0.3","2,162,440","±4,064","93,145","±4,711","4.3%","±0.2","705,490","±3,837","37,301","±3,278","5.3%","±0.5","266,769","±3,134","13,074","±1,754","4.9%","±0.7","325,918","±2,653","18,982","±2,027","5.8%","±0.6"
"            Population 65 years and over","568,486","±2,109","99,731","±4,826","17.5%","±0.9","989,834","±2,632","156,770","±5,682","15.8%","±0.6","329,827","±2,039","58,187","±3,891","17.6%","±1.1","126,926","±1,439","22,911","±1,817","18.1%","±1.4","162,040","±1,328","28,300","±1,997","17.5%","±1.2"
"                Population 65 to 74 years","340,124","±2,040","40,518","±2,825","11.9%","±0.8","600,577","±2,575","60,094","±3,334","10.0%","±0.6","198,999","±1,841","24,679","±2,557","12.4%","±1.3","76,162","±1,044","10,490","±1,259","13.8%","±1.6","102,669","±1,195","11,527","±1,240","11.2%","±1.2"
"                Population 75 years and over","228,362","±1,658","59,213","±3,368","25.9%","±1.5","389,257","±2,157","96,676","±4,384","24.8%","±1.1","130,828","±1,468","33,508","±2,641","25.6%","±2.0","50,764","±1,092","12,421","±1,264","24.5%","±2.6","59,371","±1,102","16,773","±1,441","28.3%","±2.6"
"        With a self-care difficulty","(X)","(X)","60,913","±3,670","2.0%","±0.1","(X)","(X)","118,544","±5,557","2.2%","±0.1","(X)","(X)","32,720","±2,788","1.8%","±0.2","(X)","(X)","12,517","±1,667","1.7%","±0.2","(X)","(X)","18,286","±1,992","2.2%","±0.2"
"            Population under 18 years","542,556","±3,244","6,932","±1,402","1.3%","±0.3","966,469","±2,774","11,374","±1,625","1.2%","±0.2","357,470","±2,389","3,295","±1,166","0.9%","±0.3","133,088","±2,363","1,029","±671","0.8%","±0.5","163,527","±1,555","2,009","±720","1.2%","±0.4"
"            Population 18 to 64 years","1,868,943","±3,104","26,442","±2,721","1.4%","±0.1","3,394,725","±3,643","53,718","±3,786","1.6%","±0.1","1,143,935","±2,642","14,164","±1,638","1.2%","±0.1","457,036","±2,917","4,980","±1,109","1.1%","±0.2","519,811","±2,166","7,745","±1,264","1.5%","±0.2"
"                Population 18 to 34 years","707,370","±4,026","5,679","±1,490","0.8%","±0.2","1,232,285","±3,849","12,545","±1,921","1.0%","±0.2","438,445","±3,384","4,186","±994","1.0%","±0.2","190,267","±2,997","1,705","±662","0.9%","±0.3","193,893","±2,682","1,503","±524","0.8%","±0.3"
"                Population 35 to 64 years","1,161,573","±4,609","20,763","±2,380","1.8%","±0.2","2,162,440","±4,064","41,173","±2,912","1.9%","±0.1","705,490","±3,837","9,978","±1,460","1.4%","±0.2","266,769","±3,134","3,275","±853","1.2%","±0.3","325,918","±2,653","6,242","±1,139","1.9%","±0.4"
"            Population 65 years and over","568,486","±2,109","27,539","±1,977","4.8%","±0.3","989,834","±2,632","53,452","±3,194","5.4%","±0.3","329,827","±2,039","15,261","±1,878","4.6%","±0.6","126,926","±1,439","6,508","±1,046","5.1%","±0.8","162,040","±1,328","8,532","±1,253","5.3%","±0.8"
"                Population 65 to 74 years","340,124","±2,040","10,522","±1,188","3.1%","±0.3","600,577","±2,575","19,363","±2,023","3.2%","±0.3","198,999","±1,841","5,521","±1,179","2.8%","±0.6","76,162","±1,044","2,548","±701","3.3%","±0.9","102,669","±1,195","2,807","±692","2.7%","±0.7"
"                Population 75 years and over","228,362","±1,658","17,017","±1,602","7.5%","±0.7","389,257","±2,157","34,089","±2,573","8.8%","±0.7","130,828","±1,468","9,740","±1,526","7.4%","±1.2","50,764","±1,092","3,960","±779","7.8%","±1.5","59,371","±1,102","5,725","±908","9.6%","±1.5"
"        With an independent living difficulty","(X)","(X)","129,311","±5,603","5.3%","±0.2","(X)","(X)","231,257","±7,460","5.3%","±0.2","(X)","(X)","72,448","±4,435","4.9%","±0.3","(X)","(X)","26,423","±2,602","4.5%","±0.4","(X)","(X)","33,162","±2,476","4.9%","±0.4"
"            Population 18 to 64 years","1,868,943","±3,104","72,968","±4,378","3.9%","±0.2","3,394,725","±3,643","131,043","±5,921","3.9%","±0.2","1,143,935","±2,642","40,400","±3,488","3.5%","±0.3","457,036","±2,917","14,292","±2,065","3.1%","±0.5","519,811","±2,166","18,031","±2,003","3.5%","±0.4"
"                Population 18 to 34 years","707,370","±4,026","27,727","±2,752","3.9%","±0.4","1,232,285","±3,849","47,823","±3,974","3.9%","±0.3","438,445","±3,384","18,151","±2,770","4.1%","±0.6","190,267","±2,997","6,600","±1,506","3.5%","±0.8","193,893","±2,682","6,400","±1,319","3.3%","±0.7"
"                Population 35 to 64 years","1,161,573","±4,609","45,241","±3,417","3.9%","±0.3","2,162,440","±4,064","83,220","±4,023","3.8%","±0.2","705,490","±3,837","22,249","±2,378","3.2%","±0.3","266,769","±3,134","7,692","±1,493","2.9%","±0.6","325,918","±2,653","11,631","±1,566","3.6%","±0.5"
"            Population 65 years and over","568,486","±2,109","56,343","±3,235","9.9%","±0.6","989,834","±2,632","100,214","±3,993","10.1%","±0.4","329,827","±2,039","32,048","±2,792","9.7%","±0.8","126,926","±1,439","12,131","±1,602","9.6%","±1.3","162,040","±1,328","15,131","±1,588","9.3%","±1.0"
"                Population 65 to 74 years","340,124","±2,040","19,265","±1,846","5.7%","±0.5","600,577","±2,575","31,079","±2,422","5.2%","±0.4","198,999","±1,841","10,977","±1,569","5.5%","±0.8","76,162","±1,044","3,781","±953","5.0%","±1.3","102,669","±1,195","5,100","±978","5.0%","±1.0"
"                Population 75 years and over","228,362","±1,658","37,078","±2,302","16.2%","±1.0","389,257","±2,157","69,135","±3,445","17.8%","±0.9","130,828","±1,468","21,071","±2,153","16.1%","±1.7","50,764","±1,092","8,350","±1,272","16.4%","±2.4","59,371","±1,102","10,031","±1,108","16.9%","±1.9"
