"Label (Grouping)","Iowa!!Occupied housing units!!Estimate","Iowa!!Occupied housing units!!Margin of Error","Iowa!!Percent occupied housing units!!Estimate","Iowa!!Percent occupied housing units!!Margin of Error","Iowa!!Owner-occupied housing units!!Estimate","Iowa!!Owner-occupied housing units!!Margin of Error","Iowa!!Percent owner-occupied housing units!!Estimate","Iowa!!Percent owner-occupied housing units!!Margin of Error","Iowa!!Renter-occupied housing units!!Estimate","Iowa!!Renter-occupied housing units!!Margin of Error","Iowa!!Percent renter-occupied housing units!!Estimate","Iowa!!Percent renter-occupied housing units!!Margin of Error","Minnesota!!Occupied housing units!!Estimate","Minnesota!!Occupied housing units!!Margin of Error","Minnesota!!Percent occupied housing units!!Estimate","Minnesota!!Percent occupied housing units!!Margin of Error","Minnesota!!Owner-occupied housing units!!Estimate","Minnesota!!Owner-occupied housing units!!Margin of Error","Minnesota!!Percent owner-occupied housing units!!Estimate","Minnesota!!Percent owner-occupied housing units!!Margin of Error","Minnesota!!Renter-occupied housing units!!Estimate","Minnesota!!Renter-occupied housing units!!Margin of Error","Minnesota!!Percent renter-occupied housing units!!Estimate","Minnesota!!Percent renter-occupied housing units!!Margin of Error","Nebraska!!Occupied housing units!!Estimate","Nebraska!!Occupied housing units!!Margin of Error","Nebraska!!Percent occupied housing units!!Estimate","Nebraska!!Percent occupied housing units!!Margin of Error","Nebraska!!Owner-occupied housing units!!Estimate","Nebraska!!Owner-occupied housing units!!Margin of Error","Nebraska!!Percent owner-occupied housing units!!Estimate","Nebraska!!Percent owner-occupied housing units!!Margin of Error","Nebraska!!Renter-occupied housing units!!Estimate","Nebraska!!Renter-occupied housing units!!Margin of Error","Nebraska!!Percent renter-occupied housing units!!Estimate","Nebraska!!Percent renter-occupied housing units!!Margin of Error","North Dakota!!Occupied housing units!!Estimate","North Dakota!!Occupied housing units!!Margin of Error","North Dakota!!Percent occupied housing units!!Estimate","North Dakota!!Percent occupied housing units!!Margin of Error","North Dakota!!Owner-occupied housing units!!Estimate","North Dakota!!Owner-occupied housing units!!Margin of Error","North Dakota!!Percent owner-occupied housing units!!Estimate","North Dakota!!Percent owner-occupied housing units!!Margin of Error","North Dakota!!Renter-occupied housing units!!Estimate","North Dakota!!Renter-occupied housing units!!Margin of Error","North Dakota!!Percent renter-occupied housing units!!Estimate","North Dakota!!Percent renter-occupied housing units!!Margin of Error","South Dakota!!Occupied housing units!!Estimate","South Dakota!!Occupied housing units!!Margin of Error","South Dakota!!Percent occupied housing units!!Estimate","South Dakota!!Percent occupied housing units!!Margin of Error","South Dakota!!Owner-occupied housing units!!Estimate","South Dakota!!Owner-occupied housing units!!Margin of Error","South Dakota!!Percent owner-occupied housing units!!Estimate","South Dakota!!Percent owner-occupied housing units!!Margin of Error","South Dakota!!Renter-occupied housing units!!Estimate","South Dakota!!Renter-occupied housing units!!Margin of Error","South Dakota!!Percent renter-occupied housing units!!Estimate","South Dakota!!Percent renter-occupied housing units!!Margin of Error"
"    HOUSEHOLD TYPE (INCLUDING LIVING ALONE) AND AGE OF HOUSEHOLDER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Family households","819,792","±8,707","61.3%","±0.6","679,576","±8,572","70.8%","±0.7","140,216","±6,294","37.1%","±1.4","1,447,372","±12,060","61.7%","±0.5","1,212,988","±11,004","71.9%","±0.6","234,384","±8,791","35.7%","±1.1","507,500","±5,889","62.4%","±0.7","402,169","±6,471","74.5%","±0.9","105,331","±4,969","38.4%","±1.5","191,997","±5,284","56.8%","±1.5","153,803","±4,321","71.4%","±1.4","38,194","±3,876","31.1%","±2.9","231,690","±4,860","61.2%","±1.2","185,815","±5,230","70.7%","±1.4","45,875","±3,866","39.6%","±2.8"
"            Married-couple family","644,904","±9,283","48.2%","±0.7","574,050","±8,709","59.8%","±0.7","70,854","±4,443","18.8%","±1.1","1,140,240","±11,425","48.6%","±0.5","1,020,861","±10,468","60.5%","±0.6","119,379","±6,041","18.2%","±0.8","398,895","±6,160","49.0%","±0.8","343,253","±6,338","63.6%","±0.9","55,642","±3,812","20.3%","±1.3","155,411","±5,314","46.0%","±1.6","131,823","±4,145","61.2%","±1.6","23,588","±2,835","19.2%","±2.2","182,163","±4,996","48.1%","±1.3","159,761","±5,001","60.8%","±1.6","22,402","±2,465","19.3%","±2.1"
"                Householder 15 to 34 years","96,440","±3,892","7.2%","±0.3","72,676","±3,629","7.6%","±0.4","23,764","±2,657","6.3%","±0.7","150,544","±5,647","6.4%","±0.2","111,865","±4,321","6.6%","±0.2","38,679","±4,084","5.9%","±0.6","63,805","±3,280","7.8%","±0.4","43,697","±2,644","8.1%","±0.5","20,108","±2,334","7.3%","±0.9","27,713","±2,617","8.2%","±0.8","17,016","±1,692","7.9%","±0.8","10,697","±2,023","8.7%","±1.6","28,218","±2,514","7.5%","±0.7","20,821","±2,074","7.9%","±0.7","7,397","±1,445","6.4%","±1.3"
"                Householder 35 to 64 years","374,114","±7,440","28.0%","±0.5","337,248","±6,639","35.1%","±0.6","36,866","±3,578","9.8%","±0.9","696,023","±7,111","29.7%","±0.3","637,330","±7,426","37.8%","±0.4","58,693","±4,240","8.9%","±0.6","235,595","±4,620","28.9%","±0.6","207,604","±5,089","38.5%","±0.8","27,991","±2,817","10.2%","±1.0","89,095","±3,405","26.4%","±1.0","79,144","±3,189","36.7%","±1.3","9,951","±1,696","8.1%","±1.4","104,761","±3,473","27.7%","±0.9","94,591","±3,599","36.0%","±1.2","10,170","±1,766","8.8%","±1.4"
"                Householder 65 years and over","174,350","±3,911","13.0%","±0.3","164,126","±4,083","17.1%","±0.4","10,224","±1,318","2.7%","±0.3","293,673","±4,774","12.5%","±0.2","271,666","±4,549","16.1%","±0.3","22,007","±2,309","3.4%","±0.4","99,495","±2,755","12.2%","±0.3","91,952","±2,680","17.0%","±0.5","7,543","±1,195","2.7%","±0.4","38,603","±1,442","11.4%","±0.4","35,663","±1,381","16.6%","±0.6","2,940","±803","2.4%","±0.6","49,184","±2,031","13.0%","±0.5","44,349","±1,961","16.9%","±0.7","4,835","±1,180","4.2%","±1.0"
"            Other family","174,888","±7,656","13.1%","±0.6","105,526","±5,473","11.0%","±0.6","69,362","±4,825","18.4%","±1.2","307,132","±8,156","13.1%","±0.4","192,127","±6,379","11.4%","±0.4","115,005","±6,532","17.5%","±0.9","108,605","±4,895","13.3%","±0.6","58,916","±3,250","10.9%","±0.6","49,689","±3,989","18.1%","±1.4","36,586","±3,320","10.8%","±1.0","21,980","±2,212","10.2%","±1.0","14,606","±2,824","11.9%","±2.2","49,527","±3,927","13.1%","±1.0","26,054","±2,846","9.9%","±1.0","23,473","±3,100","20.2%","±2.4"
"                Male householder, no spouse present","56,265","±4,736","4.2%","±0.4","37,084","±3,000","3.9%","±0.3","19,181","±2,978","5.1%","±0.8","107,028","±4,922","4.6%","±0.2","78,141","±4,434","4.6%","±0.3","28,887","±3,218","4.4%","±0.5","32,582","±2,736","4.0%","±0.3","20,125","±1,913","3.7%","±0.4","12,457","±2,008","4.5%","±0.7","14,717","±2,180","4.4%","±0.6","9,343","±1,338","4.3%","±0.6","5,374","±1,836","4.4%","±1.5","18,694","±2,236","4.9%","±0.6","11,531","±1,634","4.4%","±0.6","7,163","±1,528","6.2%","±1.3"
"                    Householder 15 to 34 years","15,512","±2,302","1.2%","±0.2","8,594","±1,364","0.9%","±0.1","6,918","±1,734","1.8%","±0.5","24,598","±2,287","1.0%","±0.1","14,659","±1,692","0.9%","±0.1","9,939","±1,806","1.5%","±0.3","9,270","±1,675","1.1%","±0.2","5,068","±1,082","0.9%","±0.2","4,202","±1,089","1.5%","±0.4","6,284","±1,770","1.9%","±0.5","2,554","±891","1.2%","±0.4","3,730","±1,518","3.0%","±1.2","4,069","±1,182","1.1%","±0.3","1,785","±715","0.7%","±0.3","2,284","±839","2.0%","±0.7"
"                    Householder 35 to 64 years","35,996","±3,460","2.7%","±0.3","24,591","±2,417","2.6%","±0.3","11,405","±2,454","3.0%","±0.6","70,156","±4,083","3.0%","±0.2","52,522","±3,684","3.1%","±0.2","17,634","±2,529","2.7%","±0.4","19,232","±2,327","2.4%","±0.3","12,146","±1,698","2.3%","±0.3","7,086","±1,676","2.6%","±0.6","7,142","±1,203","2.1%","±0.4","5,615","±906","2.6%","±0.4","1,527","±904","1.2%","±0.7","12,363","±1,878","3.3%","±0.5","7,904","±1,358","3.0%","±0.5","4,459","±1,334","3.8%","±1.1"
"                    Householder 65 years and over","4,757","±950","0.4%","±0.1","3,899","±799","0.4%","±0.1","858","±434","0.2%","±0.1","12,274","±1,729","0.5%","±0.1","10,960","±1,616","0.6%","±0.1","1,314","±441","0.2%","±0.1","4,080","±1,045","0.5%","±0.1","2,911","±769","0.5%","±0.1","1,169","±676","0.4%","±0.2","1,291","±396","0.4%","±0.1","1,174","±337","0.5%","±0.2","117","±158","0.1%","±0.1","2,262","±641","0.6%","±0.2","1,842","±568","0.7%","±0.2","420","±248","0.4%","±0.2"
"                Female householder, no spouse present","118,623","±5,601","8.9%","±0.4","68,442","±4,362","7.1%","±0.5","50,181","±3,713","13.3%","±0.9","200,104","±7,403","8.5%","±0.3","113,986","±5,140","6.8%","±0.3","86,118","±6,079","13.1%","±0.9","76,023","±3,913","9.3%","±0.5","38,791","±2,333","7.2%","±0.4","37,232","±3,676","13.6%","±1.2","21,869","±2,563","6.5%","±0.8","12,637","±1,713","5.9%","±0.8","9,232","±2,058","7.5%","±1.6","30,833","±3,180","8.1%","±0.8","14,523","±2,057","5.5%","±0.8","16,310","±2,650","14.1%","±2.1"
"                    Householder 15 to 34 years","31,629","±3,114","2.4%","±0.2","11,302","±1,776","1.2%","±0.2","20,327","±2,590","5.4%","±0.7","49,037","±4,044","2.1%","±0.2","16,320","±1,896","1.0%","±0.1","32,717","±3,784","5.0%","±0.6","20,361","±2,263","2.5%","±0.3","6,093","±1,263","1.1%","±0.2","14,268","±2,070","5.2%","±0.7","7,457","±1,627","2.2%","±0.5","3,024","±758","1.4%","±0.4","4,433","±1,400","3.6%","±1.1","9,478","±1,739","2.5%","±0.5","3,088","±895","1.2%","±0.3","6,390","±1,397","5.5%","±1.1"
"                    Householder 35 to 64 years","70,421","±4,863","5.3%","±0.4","42,818","±3,682","4.5%","±0.4","27,603","±2,971","7.3%","±0.8","121,078","±5,677","5.2%","±0.2","73,697","±4,234","4.4%","±0.2","47,381","±4,685","7.2%","±0.7","45,810","±3,326","5.6%","±0.4","25,108","±2,064","4.7%","±0.4","20,702","±2,810","7.5%","±1.0","12,339","±1,878","3.6%","±0.6","7,805","±1,528","3.6%","±0.7","4,534","±1,372","3.7%","±1.1","17,787","±2,364","4.7%","±0.6","8,647","±1,821","3.3%","±0.7","9,140","±1,988","7.9%","±1.7"
"                    Householder 65 years and over","16,573","±1,987","1.2%","±0.1","14,322","±1,726","1.5%","±0.2","2,251","±768","0.6%","±0.2","29,989","±2,352","1.3%","±0.1","23,969","±1,714","1.4%","±0.1","6,020","±1,458","0.9%","±0.2","9,852","±1,284","1.2%","±0.2","7,590","±1,127","1.4%","±0.2","2,262","±639","0.8%","±0.2","2,073","±577","0.6%","±0.2","1,808","±568","0.8%","±0.3","265","±200","0.2%","±0.2","3,568","±775","0.9%","±0.2","2,788","±721","1.1%","±0.3","780","±357","0.7%","±0.3"
"        Nonfamily households","517,451","±9,011","38.7%","±0.6","280,167","±8,003","29.2%","±0.7","237,284","±6,848","62.9%","±1.4","897,060","±11,988","38.3%","±0.5","474,707","±11,232","28.1%","±0.6","422,353","±9,863","64.3%","±1.1","306,364","±6,286","37.6%","±0.7","137,363","±4,949","25.5%","±0.9","169,001","±5,263","61.6%","±1.5","146,062","±5,340","43.2%","±1.5","61,560","±3,331","28.6%","±1.4","84,502","±4,364","68.9%","±2.9","146,869","±4,792","38.8%","±1.2","76,824","±3,690","29.3%","±1.4","70,045","±4,019","60.4%","±2.8"
"            Householder living alone","413,333","±9,091","30.9%","±0.6","232,451","±7,744","24.2%","±0.7","180,882","±5,796","47.9%","±1.3","706,895","±10,809","30.2%","±0.4","379,294","±10,137","22.5%","±0.5","327,601","±7,561","49.9%","±0.9","246,362","±6,616","30.3%","±0.8","116,889","±4,723","21.7%","±0.8","129,473","±5,190","47.2%","±1.6","117,336","±5,048","34.7%","±1.5","50,755","±3,021","23.6%","±1.3","66,581","±4,170","54.3%","±2.9","121,696","±4,488","32.1%","±1.2","64,170","±3,235","24.4%","±1.3","57,526","±3,791","49.6%","±2.8"
"                Householder 15 to 34 years","87,924","±4,527","6.6%","±0.3","28,650","±2,979","3.0%","±0.3","59,274","±4,003","15.7%","±1.0","146,515","±6,005","6.2%","±0.3","37,456","±3,342","2.2%","±0.2","109,059","±5,399","16.6%","±0.8","58,746","±3,887","7.2%","±0.5","10,806","±1,744","2.0%","±0.3","47,940","±3,564","17.5%","±1.3","33,888","±3,138","10.0%","±0.9","6,351","±1,264","2.9%","±0.6","27,537","±2,996","22.4%","±2.3","24,501","±2,354","6.5%","±0.6","7,480","±1,236","2.8%","±0.5","17,021","±2,447","14.7%","±2.0"
"                Householder 35 to 64 years","158,194","±6,881","11.8%","±0.5","91,583","±4,874","9.5%","±0.5","66,611","±4,952","17.6%","±1.2","273,047","±8,486","11.6%","±0.4","159,121","±6,713","9.4%","±0.4","113,926","±5,524","17.3%","±0.9","93,549","±4,425","11.5%","±0.5","46,976","±3,024","8.7%","±0.6","46,573","±3,492","17.0%","±1.2","44,304","±3,231","13.1%","±0.9","22,299","±2,093","10.4%","±1.0","22,005","±2,560","17.9%","±1.9","49,152","±3,406","13.0%","±0.9","26,955","±2,623","10.3%","±1.0","22,197","±2,435","19.1%","±2.1"
"                Householder 65 years and over","167,215","±5,519","12.5%","±0.4","112,218","±4,748","11.7%","±0.5","54,997","±3,507","14.6%","±0.9","287,333","±6,247","12.3%","±0.3","182,717","±5,574","10.8%","±0.3","104,616","±4,665","15.9%","±0.7","94,067","±4,322","11.6%","±0.5","59,107","±3,372","11.0%","±0.6","34,960","±2,949","12.7%","±1.1","39,144","±2,533","11.6%","±0.8","22,105","±1,849","10.3%","±0.8","17,039","±1,910","13.9%","±1.6","48,043","±2,809","12.7%","±0.7","29,735","±2,120","11.3%","±0.8","18,308","±1,882","15.8%","±1.5"
"            Householder not living alone","104,118","±4,743","7.8%","±0.4","47,716","±3,408","5.0%","±0.3","56,402","±3,821","14.9%","±1.0","190,165","±7,405","8.1%","±0.3","95,413","±4,745","5.7%","±0.3","94,752","±5,485","14.4%","±0.8","60,002","±3,752","7.4%","±0.5","20,474","±2,053","3.8%","±0.4","39,528","±3,770","14.4%","±1.4","28,726","±2,880","8.5%","±0.8","10,805","±1,510","5.0%","±0.7","17,921","±2,473","14.6%","±2.0","25,173","±2,719","6.6%","±0.7","12,654","±2,171","4.8%","±0.8","12,519","±1,917","10.8%","±1.6"
"                Householder 15 to 34 years","60,879","±3,664","4.6%","±0.3","18,419","±1,979","1.9%","±0.2","42,460","±3,510","11.2%","±0.9","108,841","±5,029","4.6%","±0.2","33,769","±2,881","2.0%","±0.2","75,072","±4,497","11.4%","±0.6","37,118","±3,073","4.6%","±0.4","6,454","±1,291","1.2%","±0.2","30,664","±3,234","11.2%","±1.2","18,806","±2,426","5.6%","±0.7","4,302","±1,233","2.0%","±0.6","14,504","±2,100","11.8%","±1.8","14,004","±1,981","3.7%","±0.5","4,578","±1,243","1.7%","±0.5","9,426","±1,630","8.1%","±1.5"
"                Householder 35 to 64 years","32,788","±2,331","2.5%","±0.2","21,062","±2,107","2.2%","±0.2","11,726","±1,670","3.1%","±0.4","62,159","±3,584","2.7%","±0.2","45,757","±3,010","2.7%","±0.2","16,402","±2,086","2.5%","±0.3","16,754","±2,102","2.1%","±0.3","9,277","±1,463","1.7%","±0.3","7,477","±1,536","2.7%","±0.5","6,734","±1,384","2.0%","±0.4","3,705","±884","1.7%","±0.4","3,029","±1,182","2.5%","±0.9","8,627","±1,523","2.3%","±0.4","6,067","±1,532","2.3%","±0.6","2,560","±825","2.2%","±0.7"
"                Householder 65 years and over","10,451","±1,317","0.8%","±0.1","8,235","±1,085","0.9%","±0.1","2,216","±811","0.6%","±0.2","19,165","±2,017","0.8%","±0.1","15,887","±1,752","0.9%","±0.1","3,278","±909","0.5%","±0.1","6,130","±1,194","0.8%","±0.1","4,743","±909","0.9%","±0.2","1,387","±704","0.5%","±0.3","3,186","±772","0.9%","±0.2","2,798","±734","1.3%","±0.3","388","±241","0.3%","±0.2","2,542","±540","0.7%","±0.1","2,009","±485","0.8%","±0.2","533","±282","0.5%","±0.2"
"    FAMILY TYPE AND PRESENCE OF OWN CHILDREN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        With related children of householder under 18 years","369,751","±6,857","27.7%","±0.5","284,369","±6,974","29.6%","±0.7","85,382","±4,674","22.6%","±1.1","641,509","±9,202","27.4%","±0.4","509,894","±8,752","30.2%","±0.5","131,615","±6,558","20.0%","±0.9","236,086","±4,707","29.0%","±0.6","172,651","±4,842","32.0%","±0.8","63,435","±4,408","23.1%","±1.4","90,566","±3,681","26.8%","±1.1","67,546","±2,981","31.4%","±1.1","23,020","±2,856","18.8%","±2.2","108,779","±3,843","28.7%","±1.0","79,960","±3,946","30.4%","±1.3","28,819","±3,314","24.9%","±2.5"
"            With own children of householder under 18 years","350,520","±6,675","26.2%","±0.5","270,089","±6,440","28.1%","±0.6","80,431","±4,806","21.3%","±1.1","608,882","±8,915","26.0%","±0.4","485,087","±8,554","28.7%","±0.5","123,795","±6,438","18.9%","±0.9","223,551","±4,565","27.5%","±0.5","163,593","±4,651","30.3%","±0.7","59,958","±4,131","21.9%","±1.3","86,281","±3,609","25.5%","±1.0","64,080","±2,919","29.8%","±1.1","22,201","±2,850","18.1%","±2.2","101,165","±3,681","26.7%","±0.9","75,070","±3,756","28.6%","±1.3","26,095","±3,230","22.5%","±2.4"
"                Under 6 years only","72,489","±3,802","5.4%","±0.3","52,439","±3,422","5.5%","±0.3","20,050","±2,469","5.3%","±0.7","127,218","±5,413","5.4%","±0.2","96,692","±4,438","5.7%","±0.3","30,526","±3,319","4.6%","±0.5","43,442","±2,885","5.3%","±0.4","30,634","±2,457","5.7%","±0.5","12,808","±1,669","4.7%","±0.6","21,828","±2,405","6.5%","±0.7","14,738","±2,016","6.8%","±0.9","7,090","±1,820","5.8%","±1.5","20,774","±2,265","5.5%","±0.6","14,322","±1,997","5.5%","±0.7","6,452","±1,575","5.6%","±1.3"
"                Under 6 years and 6 to 17 years","73,817","±3,983","5.5%","±0.3","55,395","±3,221","5.8%","±0.3","18,422","±2,364","4.9%","±0.6","123,698","±5,249","5.3%","±0.2","92,943","±4,171","5.5%","±0.2","30,755","±4,077","4.7%","±0.6","47,715","±3,007","5.9%","±0.4","33,001","±2,586","6.1%","±0.5","14,714","±2,062","5.4%","±0.7","16,631","±2,204","4.9%","±0.6","12,628","±1,687","5.9%","±0.8","4,003","±1,323","3.3%","±1.1","20,970","±2,435","5.5%","±0.6","14,727","±1,966","5.6%","±0.7","6,243","±1,365","5.4%","±1.2"
"                6 to 17 years only","204,214","±6,730","15.3%","±0.5","162,255","±5,176","16.9%","±0.5","41,959","±3,775","11.1%","±1.0","357,966","±6,000","15.3%","±0.3","295,452","±5,661","17.5%","±0.3","62,514","±4,534","9.5%","±0.6","132,394","±3,908","16.3%","±0.5","99,958","±4,150","18.5%","±0.7","32,436","±3,104","11.8%","±1.0","47,822","±2,904","14.1%","±0.9","36,714","±2,609","17.0%","±1.1","11,108","±1,954","9.1%","±1.5","59,421","±3,192","15.7%","±0.8","46,021","±3,182","17.5%","±1.2","13,400","±2,023","11.6%","±1.6"
