"Label (Grouping)","Iowa!!Total!!Estimate","Iowa!!Total!!Margin of Error","Iowa!!Moved; within same county!!Estimate","Iowa!!Moved; within same county!!Margin of Error","Iowa!!Moved; from different county, same state!!Estimate","Iowa!!Moved; from different county, same state!!Margin of Error","Iowa!!Moved; from different  state!!Estimate","Iowa!!Moved; from different  state!!Margin of Error","Iowa!!Moved; from abroad!!Estimate","Iowa!!Moved; from abroad!!Margin of Error","Minnesota!!Total!!Estimate","Minnesota!!Total!!Margin of Error","Minnesota!!Moved; within same county!!Estimate","Minnesota!!Moved; within same county!!Margin of Error","Minnesota!!Moved; from different county, same state!!Estimate","Minnesota!!Moved; from different county, same state!!Margin of Error","Minnesota!!Moved; from different  state!!Estimate","Minnesota!!Moved; from different  state!!Margin of Error","Minnesota!!Moved; from abroad!!Estimate","Minnesota!!Moved; from abroad!!Margin of Error","Nebraska!!Total!!Estimate","Nebraska!!Total!!Margin of Error","Nebraska!!Moved; within same county!!Estimate","Nebraska!!Moved; within same county!!Margin of Error","Nebraska!!Moved; from different county, same state!!Estimate","Nebraska!!Moved; from different county, same state!!Margin of Error","Nebraska!!Moved; from different  state!!Estimate","Nebraska!!Moved; from different  state!!Margin of Error","Nebraska!!Moved; from abroad!!Estimate","Nebraska!!Moved; from abroad!!Margin of Error","North Dakota!!Total!!Estimate","North Dakota!!Total!!Margin of Error","North Dakota!!Moved; within same county!!Estimate","North Dakota!!Moved; within same county!!Margin of Error","North Dakota!!Moved; from different county, same state!!Estimate","North Dakota!!Moved; from different county, same state!!Margin of Error","North Dakota!!Moved; from different  state!!Estimate","North Dakota!!Moved; from different  state!!Margin of Error","North Dakota!!Moved; from abroad!!Estimate","North Dakota!!Moved; from abroad!!Margin of Error","South Dakota!!Total!!Estimate","South Dakota!!Total!!Margin of Error","South Dakota!!Moved; within same county!!Estimate","South Dakota!!Moved; within same county!!Margin of Error","South Dakota!!Moved; from different county, same state!!Estimate","South Dakota!!Moved; from different county, same state!!Margin of Error","South Dakota!!Moved; from different  state!!Estimate","South Dakota!!Moved; from different  state!!Margin of Error","South Dakota!!Moved; from abroad!!Estimate","South Dakota!!Moved; from abroad!!Margin of Error"
"        75 years and over","249,665","±1,556","5.5%","±0.5","2.1%","±0.3","0.9%","±0.2","0.3%","±0.1","419,467","±1,943","4.9%","±0.5","2.4%","±0.4","0.8%","±0.2","0.3%","±0.1","139,279","±1,398","5.1%","±0.9","1.8%","±0.5","1.2%","±0.4","0.4%","±0.3","56,316","±1,040","5.6%","±1.1","2.3%","±0.8","0.4%","±0.2","0.2%","±0.2","66,028","±1,056","4.1%","±1.1","2.0%","±0.7","1.1%","±0.5","0.2%","±0.2"
"        Median age (years)","39.6","±0.2","26.7","±0.9","25.4","±0.7","25.9","±1.1","28.7","±1.9","39.5","±0.1","28.9","±0.5","26.2","±0.5","26.8","±0.9","28.6","±3.1","37.8","±0.3","26.7","±0.8","25.9","±0.8","27.3","±1.4","28.2","±1.5","36.7","±0.4","26.7","±1.2","27.3","±1.8","22.5","±1.3","27.7","±3.3","38.9","±0.3","30.0","±1.9","27.0","±1.6","29.7","±4.6","33.2","±3.9"
"    SEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Male","1,585,359","±4,573","6.4%","±0.4","3.6%","±0.3","2.4%","±0.2","0.6%","±0.1","2,837,109","±4,210","4.8%","±0.3","4.2%","±0.2","1.8%","±0.1","0.6%","±0.1","981,514","±3,567","6.3%","±0.5","3.3%","±0.3","2.5%","±0.3","0.7%","±0.2","396,309","±3,255","7.4%","±0.9","2.9%","±0.5","4.8%","±0.8","1.0%","±0.3","461,361","±2,547","5.0%","±0.7","3.1%","±0.4","3.3%","±0.5","0.3%","±0.1"
"        Female","1,585,194","±4,105","6.0%","±0.4","3.3%","±0.2","2.2%","±0.2","0.5%","±0.1","2,836,010","±4,679","5.5%","±0.3","4.2%","±0.3","1.7%","±0.2","0.5%","±0.1","974,527","±3,394","7.1%","±0.6","3.2%","±0.3","2.4%","±0.3","0.6%","±0.2","378,676","±3,360","8.4%","±1.1","2.7%","±0.4","4.0%","±0.7","0.8%","±0.3","445,835","±2,292","4.7%","±0.6","3.2%","±0.5","3.4%","±0.6","0.2%","±0.1"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        One race","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"            White","2,674,126","±7,622","5.8%","±0.3","3.4%","±0.2","2.1%","±0.2","0.2%","±0.1","4,356,572","±9,171","4.5%","±0.2","3.8%","±0.2","1.7%","±0.1","0.2%","±0.1","1,521,750","±7,112","6.1%","±0.5","3.3%","±0.3","2.4%","±0.3","0.3%","±0.1","640,046","±3,425","7.2%","±0.7","2.7%","±0.4","4.0%","±0.6","0.5%","±0.2","730,496","±3,981","4.3%","±0.5","3.0%","±0.4","3.4%","±0.6","0.2%","±0.1"
"            Black or African American","126,297","±6,292","10.4%","±3.3","4.9%","±1.2","3.4%","±1.1","1.3%","±0.8","406,309","±8,631","8.2%","±1.4","6.6%","±1.2","2.2%","±0.6","1.3%","±0.5","89,208","±5,498","13.8%","±4.0","2.4%","±0.9","2.3%","±1.0","1.3%","±0.8","24,421","±2,623","20.6%","±11.8","3.8%","±3.2","12.1%","±5.8","3.3%","±5.1","22,260","±2,251","12.3%","±7.4","2.3%","±1.0","3.7%","±2.4","0.8%","±1.4"
"            American Indian and Alaska Native","12,625","±2,531","2.0%","±1.4","3.7%","±2.7","1.8%","±1.9","0.5%","±0.9","53,033","±4,062","9.3%","±2.2","6.5%","±1.1","2.1%","±0.9","0.6%","±0.6","21,235","±3,247","4.8%","±3.0","4.7%","±3.4","2.7%","±1.7","0.3%","±0.5","34,099","±2,510","5.9%","±2.2","5.5%","±2.5","2.0%","±1.3","1.0%","±1.1","70,264","±3,052","6.3%","±1.9","3.4%","±1.0","1.9%","±1.6","0.0%","±0.1"
"            Asian","74,826","±3,920","5.0%","±2.2","3.7%","±1.4","2.5%","±1.1","8.9%","±4.3","295,047","±5,398","6.1%","±1.0","4.9%","±0.9","1.8%","±0.4","2.3%","±0.7","48,139","±3,158","6.3%","±2.3","3.7%","±2.7","2.5%","±1.9","3.6%","±1.8","11,814","±1,261","15.3%","±7.0","1.4%","±1.7","12.1%","±6.2","10.6%","±5.7","13,789","±1,604","4.2%","±3.7","5.2%","±4.4","6.3%","±5.4","3.0%","±2.3"
"            Native Hawaiian and Other Pacific Islander","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"            Some other race","73,134","±7,235","10.9%","±2.9","4.0%","±1.3","3.4%","±1.4","2.2%","±1.2","159,645","±10,657","6.6%","±1.8","5.8%","±1.3","2.2%","±0.9","2.7%","±1.0","100,707","±8,144","6.5%","±1.9","2.1%","±0.8","3.1%","±1.4","2.9%","±1.8","11,962","±2,970","10.8%","±6.6","0.6%","±0.6","6.4%","±5.1","5.7%","±3.9","15,143","±2,966","11.3%","±5.9","1.9%","±2.1","0.1%","±0.1","1.0%","±0.4"
"        Two or more races","205,120","±12,793","7.8%","±1.6","2.9%","±0.7","3.6%","±0.9","0.9%","±0.6","398,836","±13,551","6.5%","±1.1","4.7%","±0.7","2.3%","±0.5","1.1%","±0.4","174,572","±8,610","8.2%","±1.9","3.7%","±1.1","2.7%","±1.0","1.7%","±1.3","50,979","±4,862","6.6%","±2.6","3.0%","±2.0","5.7%","±2.9","1.8%","±1.2","54,945","±5,100","5.5%","±2.0","4.9%","±1.7","3.6%","±1.7","0.4%","±0.4"
"        Hispanic or Latino origin (of any race)","229,311","±1,570","9.2%","±1.8","3.5%","±0.7","3.6%","±0.9","1.3%","±0.5","360,484","±1,751","6.6%","±1.2","5.3%","±0.8","2.5%","±0.6","2.2%","±0.6","250,492","±1,145","8.0%","±1.7","3.0%","±0.6","3.2%","±1.0","1.7%","±0.8","37,700","±940","9.8%","±4.0","2.9%","±2.1","9.3%","±4.5","3.5%","±2.1","45,450","±636","10.3%","±3.6","6.1%","±2.1","2.6%","±1.9","1.0%","±0.6"
"        White alone, not Hispanic or Latino","2,615,371","±4,453","5.6%","±0.3","3.3%","±0.2","2.1%","±0.2","0.2%","±0.1","4,294,649","±6,763","4.5%","±0.2","3.7%","±0.2","1.6%","±0.1","0.2%","±0.1","1,473,492","±3,263","6.0%","±0.5","3.2%","±0.3","2.3%","±0.3","0.3%","±0.1","631,599","±2,475","7.2%","±0.7","2.6%","±0.4","3.8%","±0.5","0.5%","±0.2","720,791","±2,641","4.3%","±0.5","2.9%","±0.4","3.4%","±0.6","0.2%","±0.1"
"    NATIVITY AND CITIZENSHIP STATUS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Native","2,982,094","±7,853","6.2%","±0.4","3.5%","±0.2","2.3%","±0.2","0.2%","±0.1","5,177,889","±14,660","5.0%","±0.2","4.1%","±0.2","1.7%","±0.1","0.3%","±0.1","1,803,700","±6,988","6.7%","±0.5","3.3%","±0.3","2.4%","±0.2","0.3%","±0.1","743,889","±3,714","7.7%","±0.8","2.8%","±0.3","4.4%","±0.6","0.6%","±0.2","867,253","±4,630","4.6%","±0.5","3.1%","±0.4","3.3%","±0.5","0.1%","±0.1"
"        Foreign born","188,459","±8,039","6.8%","±1.6","2.7%","±0.7","3.1%","±0.9","6.1%","±1.9","495,230","±14,389","6.5%","±1.0","5.0%","±0.7","2.2%","±0.4","3.4%","±0.6","152,341","±6,623","6.9%","±1.7","2.5%","±0.7","3.9%","±1.3","5.0%","±1.4","31,096","±3,543","12.1%","±4.3","2.4%","±1.4","6.3%","±2.8","9.5%","±4.4","39,943","±4,417","10.0%","±3.7","4.3%","±3.0","2.8%","±1.5","2.6%","±1.3"
"            Naturalized U.S. citizen","79,351","±4,844","5.0%","±1.6","1.9%","±0.8","3.6%","±1.7","0.6%","±0.4","286,887","±11,666","5.1%","±0.9","4.4%","±0.8","1.8%","±0.5","0.3%","±0.2","63,685","±5,224","4.4%","±1.7","3.0%","±1.0","2.3%","±0.9","0.5%","±0.7","15,082","±2,311","13.3%","±6.2","1.1%","±1.1","5.2%","±3.6","0.0%","±0.8","19,946","±4,414","10.3%","±4.2","4.9%","±3.6","2.2%","±2.4","0.0%","±0.6"
"            Not a U.S. citizen","109,108","±7,512","8.0%","±2.6","3.3%","±1.1","2.8%","±1.1","10.0%","±3.1","208,343","±12,180","8.3%","±1.9","5.8%","±1.2","2.7%","±0.8","7.6%","±1.2","88,656","±5,707","8.7%","±2.4","2.2%","±0.9","5.0%","±2.1","8.3%","±2.2","16,014","±2,827","11.0%","±5.8","3.6%","±2.5","7.4%","±4.4","18.5%","±7.9","19,997","±2,924","9.8%","±4.8","3.7%","±3.4","3.3%","±2.0","5.2%","±2.5"
"MARITAL STATUS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 15 years and over","2,614,371","±2,685","6.2%","±0.3","3.7%","±0.2","2.5%","±0.2","0.5%","±0.1","4,676,415","±2,600","5.2%","±0.2","4.4%","±0.2","1.9%","±0.1","0.6%","±0.1","1,586,300","±2,165","6.7%","±0.4","3.5%","±0.3","2.5%","±0.2","0.6%","±0.2","633,643","±2,497","8.2%","±0.8","3.1%","±0.4","5.0%","±0.6","1.0%","±0.3","739,226","±1,791","5.1%","±0.5","3.4%","±0.3","3.4%","±0.4","0.3%","±0.1"
"        Never married","819,976","±11,265","10.5%","±0.7","7.3%","±0.6","4.2%","±0.4","0.6%","±0.2","1,560,906","±15,496","8.5%","±0.5","7.8%","±0.4","3.3%","±0.3","0.9%","±0.2","498,939","±8,714","10.8%","±1.0","6.3%","±0.6","3.9%","±0.5","0.9%","±0.3","212,088","±6,807","13.7%","±1.6","5.7%","±0.9","9.5%","±1.5","1.3%","±0.5","237,677","±6,970","7.7%","±1.2","5.9%","±0.7","5.2%","±0.8","0.5%","±0.2"
"        Now married, except separated","1,345,491","±16,771","3.4%","±0.4","1.7%","±0.2","1.5%","±0.2","0.5%","±0.2","2,383,664","±21,332","3.0%","±0.3","2.2%","±0.2","1.2%","±0.2","0.4%","±0.1","829,355","±11,812","3.9%","±0.5","1.9%","±0.3","1.8%","±0.3","0.6%","±0.2","322,430","±10,451","4.5%","±0.8","1.3%","±0.4","2.7%","±0.7","1.0%","±0.4","376,448","±9,867","3.3%","±0.7","1.7%","±0.4","2.4%","±0.6","0.2%","±0.1"
"        Divorced or separated","299,548","±9,893","7.0%","±0.9","3.7%","±0.6","2.6%","±0.5","0.3%","±0.1","508,753","±9,867","6.0%","±0.5","4.9%","±0.5","1.6%","±0.3","0.3%","±0.1","178,578","±7,081","7.9%","±1.1","4.1%","±0.8","2.5%","±0.8","0.4%","±0.3","66,289","±5,117","9.6%","±2.2","2.7%","±0.9","3.1%","±1.3","0.6%","±0.4","83,930","±5,072","6.2%","±1.4","4.0%","±1.2","3.7%","±1.1","0.1%","±0.1"
"        Widowed","149,356","±4,844","6.5%","±1.0","2.6%","±0.5","1.4%","±0.3","0.3%","±0.2","223,092","±6,223","5.0%","±0.6","2.4%","±0.5","1.1%","±0.3","0.4%","±0.2","79,428","±3,462","6.0%","±1.1","1.8%","±0.6","2.3%","±0.9","0.3%","±0.3","32,836","±2,142","6.0%","±1.5","4.7%","±2.1","0.8%","±0.4","0.2%","±0.2","41,171","±2,533","4.9%","±1.7","2.5%","±0.9","1.5%","±0.7","0.5%","±0.6"
"EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 25 years and over","2,166,425","±4,583","4.9%","±0.3","2.6%","±0.2","1.8%","±0.2","0.5%","±0.1","3,941,575","±3,550","4.5%","±0.2","3.3%","±0.2","1.5%","±0.1","0.4%","±0.1","1,307,246","±2,748","5.4%","±0.4","2.6%","±0.2","2.1%","±0.2","0.6%","±0.2","520,006","±3,342","6.5%","±0.7","2.4%","±0.4","2.6%","±0.5","1.1%","±0.3","615,517","±2,831","4.7%","±0.6","2.6%","±0.4","2.7%","±0.5","0.3%","±0.1"
"        Less than high school graduate","145,488","±4,976","6.0%","±1.0","2.5%","±0.6","1.3%","±0.5","1.4%","±1.1","223,823","±8,367","6.3%","±0.9","5.0%","±0.9","1.1%","±0.3","1.0%","±0.3","96,070","±4,547","6.6%","±1.8","2.3%","±0.6","1.6%","±0.8","1.2%","±0.7","28,417","±2,479","6.5%","±2.1","4.2%","±1.8","2.3%","±2.7","1.7%","±1.3","40,290","±3,570","5.6%","±1.8","6.3%","±2.0","3.9%","±1.7","1.0%","±0.8"
"        High school graduate (includes equivalency)","648,610","±10,704","4.9%","±0.5","2.6%","±0.3","1.6%","±0.3","0.4%","±0.1","919,678","±11,882","4.6%","±0.5","3.4%","±0.3","0.9%","±0.2","0.3%","±0.1","324,140","±8,471","5.9%","±0.8","2.7%","±0.4","1.6%","±0.3","0.5%","±0.2","126,581","±4,839","5.9%","±1.1","3.4%","±0.9","1.4%","±0.6","0.6%","±0.5","170,305","±5,108","5.4%","±1.0","2.7%","±0.5","1.6%","±0.5","0.2%","±0.2"
"        Some college or associate's degree","688,827","±11,489","4.9%","±0.5","2.4%","±0.3","1.5%","±0.3","0.2%","±0.1","1,221,868","±12,835","4.0%","±0.3","3.1%","±0.4","1.1%","±0.2","0.3%","±0.1","425,756","±9,682","5.4%","±0.7","2.8%","±0.4","1.9%","±0.4","0.4%","±0.2","190,534","±5,612","7.3%","±1.3","1.9%","±0.5","2.9%","±1.0","0.7%","±0.3","199,955","±6,036","4.3%","±0.7","2.8%","±0.6","2.5%","±0.6","0.2%","±0.2"
"        Bachelor's degree","452,714","±10,331","4.7%","±0.6","2.5%","±0.4","2.4%","±0.4","0.6%","±0.2","1,022,673","±12,926","4.7%","±0.4","3.1%","±0.3","1.9%","±0.3","0.5%","±0.1","298,782","±8,515","4.9%","±0.6","2.2%","±0.5","2.8%","±0.5","0.8%","±0.3","121,205","±6,019","5.3%","±1.3","1.9%","±0.6","2.6%","±0.7","1.9%","±0.9","141,083","±4,708","4.3%","±1.0","1.4%","±0.5","3.0%","±0.9","0.1%","±0.1"
"        Graduate or professional degree","230,786","±6,801","4.4%","±0.7","3.3%","±0.7","2.2%","±0.5","0.9%","±0.3","553,533","±10,959","4.3%","±0.5","3.0%","±0.5","2.2%","±0.4","0.6%","±0.2","162,498","±6,148","4.9%","±0.9","2.4%","±0.6","2.9%","±0.8","0.7%","±0.4","53,269","±4,328","7.8%","±2.2","1.9%","±0.9","4.4%","±1.8","1.0%","±1.1","63,884","±4,383","3.9%","±1.4","2.2%","±1.2","5.4%","±2.3","0.4%","±0.4"
"INDIVIDUAL INCOME IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 15 years and over","2,614,371","±2,685","6.2%","±0.3","3.7%","±0.2","2.5%","±0.2","0.5%","±0.1","4,676,415","±2,600","5.2%","±0.2","4.4%","±0.2","1.9%","±0.1","0.6%","±0.1","1,586,300","±2,165","6.7%","±0.4","3.5%","±0.3","2.5%","±0.2","0.6%","±0.2","633,643","±2,497","8.2%","±0.8","3.1%","±0.4","5.0%","±0.6","1.0%","±0.3","739,226","±1,791","5.1%","±0.5","3.4%","±0.3","3.4%","±0.4","0.3%","±0.1"
"        $1 to $9,999 or loss","317,739","±7,804","7.8%","±0.8","6.6%","±0.7","4.5%","±0.6","0.6%","±0.1","521,612","±9,822","7.1%","±0.7","7.2%","±0.6","3.2%","±0.4","0.9%","±0.3","193,217","±6,602","7.2%","±1.1","6.6%","±0.8","3.4%","±0.7","0.8%","±0.3","72,022","±4,253","6.7%","±1.3","4.5%","±1.2","11.0%","±2.5","1.8%","±0.6","89,199","±3,768","5.9%","±1.3","4.8%","±0.8","5.9%","±1.6","0.7%","±0.5"
"        $10,000 to $14,999","179,082","±6,583","8.0%","±1.2","5.2%","±0.9","3.1%","±0.6","0.4%","±0.2","279,135","±6,703","7.1%","±0.8","5.0%","±0.8","2.4%","±0.5","0.6%","±0.2","104,939","±4,623","9.8%","±1.9","3.3%","±0.7","2.3%","±0.7","0.2%","±0.2","44,083","±3,459","11.9%","±3.3","3.8%","±1.2","5.9%","±2.7","1.2%","±0.8","50,699","±3,438","7.4%","±2.2","5.7%","±1.6","4.3%","±1.1","0.1%","±0.1"
"        $15,000 to $24,999","298,722","±8,845","7.2%","±0.8","3.4%","±0.6","2.6%","±0.5","0.5%","±0.2","464,728","±9,988","5.9%","±0.6","5.0%","±0.5","2.0%","±0.4","0.8%","±0.2","162,407","±6,460","8.8%","±1.2","3.5%","±0.7","3.0%","±0.7","0.9%","±0.4","66,757","±3,906","7.5%","±1.7","5.1%","±1.7","7.1%","±2.0","1.6%","±1.5","83,770","±4,266","4.8%","±1.3","5.7%","±1.2","2.8%","±0.9","0.2%","±0.2"
"        $25,000 to $34,999","278,130","±8,239","6.6%","±0.9","4.4%","±0.9","2.3%","±0.4","0.8%","±0.4","423,344","±10,056","6.2%","±0.6","4.9%","±0.6","1.9%","±0.4","0.4%","±0.2","162,156","±6,529","8.6%","±1.3","2.5%","±0.6","2.9%","±0.8","0.8%","±0.3","63,447","±4,461","15.7%","±3.7","3.7%","±1.1","3.8%","±1.3","0.7%","±0.6","75,134","±4,462","5.0%","±1.4","4.0%","±1.0","3.4%","±1.1","0.4%","±0.4"
"        $35,000 to $49,999","397,395","±8,969","7.0%","±0.8","3.5%","±0.5","2.0%","±0.4","0.3%","±0.2","642,945","±11,821","5.6%","±0.5","4.5%","±0.4","1.8%","±0.3","0.4%","±0.1","240,547","±8,779","7.0%","±1.0","4.1%","±0.7","2.1%","±0.5","0.8%","±0.4","88,208","±5,075","8.2%","±1.7","2.8%","±0.9","5.9%","±2.1","1.3%","±0.8","112,666","±5,284","6.3%","±1.2","3.0%","±1.0","3.3%","±1.1","0.1%","±0.1"
"        $50,000 to $64,999","316,154","±9,091","6.0%","±0.8","3.4%","±0.6","1.3%","±0.3","0.3%","±0.1","574,136","±10,366","4.8%","±0.5","4.1%","±0.5","1.8%","±0.3","0.3%","±0.1","198,543","±6,070","5.7%","±0.8","4.1%","±0.8","1.6%","±0.4","0.3%","±0.2","81,682","±4,201","7.4%","±1.9","1.9%","±0.8","3.0%","±1.3","1.4%","±0.9","97,691","±4,714","6.2%","±1.4","1.5%","±0.6","2.3%","±0.9","0.2%","±0.3"
